Line_number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
1,GD001,Expenditure,Not specified,12235.7791666667,,,,1764,Outfitting,Livres tournois,
2,GD001,Expenditure,Not specified,654.854166666667,,,,1764,After outfitting,Livres tournois,
3,GD001,Expenditure,Not specified,17279.7875,,,,1765,Outfitting,Livres tournois,
4,GD001,Expenditure,Not specified,1228.62916666667,,,,1765,After outfitting,Livres tournois,
5,GD001,Expenditure,Not specified,16373.7041666667,,,,1767,Outfitting,Livres tournois,
6,GD001,Expenditure,Not specified,1757.69166666667,,,,1767,After outfitting,Livres tournois,
7,GD001,Expenditure,Not specified,18666.1791666667,,,,1769,Outfitting,Livres tournois,
8,GD001,Expenditure,Not specified,3055.52083333333,,,,1769,After outfitting,Livres tournois,
27,GD001,Return,Not specified,2929.41666666667,,,,1766-04-12,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
28,GD001,Return,Not specified,3310.4375,,,,1767-05-27,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
29,GD001,Return,Not specified,360.925,,,,1767-05-27,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
30,GD001,Return,Not specified,794.375,,,,1767-05-27,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
31,GD001,Return,Not specified,2279.97916666667,,,,1767-05-27,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
32,GD001,Return,Not specified,229.733333333333,,,,1767-05-27,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
33,GD001,Return,Not specified,2484.4375,,,,1768-05-17,Return,Livres tournois,Répartitions portées sur le Grand Livre seulement et qui ne se trouvent point dans les dossiers
