VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
KR001,Expenditure,Crew bonus,2054,,0,,,Return,Danish rigsdaler,
KR001,Expenditure,Crew costs,5440,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
KR001,Expenditure,Extraordinary expenses,897,,0,,,Outfitting,Danish rigsdaler,
KR001,Expenditure,Outfitting costs,13565,,0,,,Outfitting,Danish rigsdaler,
KR001,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR001,Expenditure,Value of ship before departure,5226,,0,,,Outfitting,Danish rigsdaler,
KR001,Return,Remitted sale of slaves in America,41910,,0,,,Return,Danish rigsdaler,
KR001,Return,Sale of American goods,2108,,0,,,Return,Danish rigsdaler,
KR001,Return,Insurance loss reimbursement,418,,0,Other,,Return,Danish rigsdaler,Estimated based on assumptions about what might have been insured.
KR002,Expenditure,Crew bonus,1537,,0,,,Return,Danish rigsdaler,
KR002,Expenditure,Crew costs,4360,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
KR002,Expenditure,Extraordinary expenses,1629,,0,,,Outfitting,Danish rigsdaler,
KR002,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR002,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR002,Expenditure,Value of ship before departure,4800,,0,,,Outfitting,Danish rigsdaler,
KR002,Return,Remitted sale of slaves in America,30755,,0,,,Return,Danish rigsdaler,
KR003,Expenditure,Crew bonus,2514,,0,,,Return,Danish rigsdaler,
KR003,Expenditure,Crew costs,4920,,0,,,Outfitting,Danish rigsdaler,
KR003,Expenditure,Extraordinary expenses,3774,,0,,,Outfitting,Danish rigsdaler,
KR003,Expenditure,Outfitting costs,9845,,0,,,Outfitting,Danish rigsdaler,
KR003,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR003,Return,Remitted sale of slaves in America,42063,,0,,,Return,Danish rigsdaler,
KR004,Expenditure,Crew bonus,1861,,0,,,Return,Danish rigsdaler,
KR004,Expenditure,Crew costs,7302,,0,,,Outfitting,Danish rigsdaler,
KR004,Expenditure,Extraordinary expenses,743,,0,,,Outfitting,Danish rigsdaler,
KR004,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR004,Expenditure,Trade cargo costs,46600,,0,,,Outfitting,Danish rigsdaler,
KR004,Return,Remitted sale of slaves in America,43119,,0,,,Return,Danish rigsdaler,
KR005,Expenditure,Crew bonus,1944,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
KR005,Expenditure,Crew costs,6871,,0,,,Outfitting,Danish rigsdaler,
KR005,Expenditure,Extraordinary expenses,5481,,0,,,Outfitting,Danish rigsdaler,
KR005,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR005,Expenditure,Trade cargo costs,50704,,0,,,Outfitting,Danish rigsdaler,
KR005,Return,Remitted sale of slaves in America,39116,,0,Other,,Return,Danish rigsdaler,Estimate based on number of slaves sold and assumption of average price of slaves sold by Bargum.
KR006,Expenditure,Crew bonus,1215,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
KR006,Expenditure,Crew costs,3500,,0,,,Outfitting,Danish rigsdaler,
KR006,Expenditure,Extraordinary expenses,2181,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR006,Expenditure,Outfitting costs,7112,,0,,,Outfitting,Danish rigsdaler,
KR006,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
KR006,Expenditure,Value of ship before departure,3450,,0,,,Outfitting,Danish rigsdaler,
