VentureID,Type of cash flow,Specification,Value,Means of payment/return,Intermediary trading operation,hypothesis,Date of transaction,Timing,Currency,remarks
MR001,Expenditure,Trade cargo costs,1700000,cash and credit,,0,1600-11-04,,Portuguese real,
MR001,Expenditure,Licence cost (Africa),72000,,,1,,Outfitting,Portuguese real,Contract stipulated that the arma��o (outfitting) carried the registry for the slaves' licences
MR001,Expenditure,Licence cost (America),3960,,,1,,Outfitting,Spanish real,"Estimate based on contract stating that the arma��o (outfitting) carried the registry for the slaves' licences, making its price 330 (Lisbon/Seville), instead of 440 if paid upon arrival in America"
MR001,Expenditure,Taxes,1008,,,1,,Transactions during voyage,Spanish real,
MR001,Expenditure,Commission fees,12% of returns,,,,,,Portuguese real,Contract states that the supercargos are owed a fee equalling 12% from the proceeding of the total of the slaves' sale in Cartagena
MR001,Returns,Sale of slaves in America,364000,,,0,,Return,Portuguese real,
MR002,Expenditure,Outfitting costs,157500,,,0,,Outfitting,Portuguese real,Refers to venture MR001
MR002,Expenditure,Rent of ship,120000,,,0,,Outfitting,Portuguese real,
MR002,Expenditure,Taxes (Canary Islands),21000,,1,0,,Transactions during voyage,Portuguese real,
MR002,Expenditure,Taxes (Africa),60000,,,1,,Transactions during voyage,Portuguese real,"Estimate based on contract stipulating a fee of 300 reis per slave, with 200 stipulated by the outfitter to be shipped from Africa"
MR002,Expenditure,Insurance costs,200000,,,0,,Outfitting,Portuguese real,
MR002,Expenditure,Licence cost (Africa),1200000,,,1,,Transactions during voyage,Portuguese real,"Estimate based on contract stating that the outfitter would pay 6,000 reis per slave that arrived in America, with 200 stipulated to be shipped"
MR002,Returns,Freight compensation,200000,,,0,,Return,Portuguese real,"Discounted over the freight cost of transporting slaves due the freighter lending a sum of 200,000 reis to the shipmaster who was entitled to carry 50 more slaves on the ship for himself"
MR003,Expenditure,Trade cargo costs,100000,,,0,1617-10-24,,Portuguese real,
MR003,Expenditure,Licence cost (Africa),21000,,,1,,Outfitting,Portuguese real,Estimate based on the contract of Guinea
MR003,Expenditure,Licence cost (America),1320,,,1,,Transactions during voyage,Spanish real,Estimate based on contract stating that the outfitter would cover the asiento costs in America (440 reales/40 ducados per slave)
MR003,Expenditure,Taxes,300,,,1,,Transactions during voyage,Spanish real,
MR004,Expenditure,Taxes,385,,,0,,Outfitting,Spanish real,
MR004,Expenditure,Licence cost (Africa),630000,,1,0,1617-12-24,,Portuguese real,
MR004,Expenditure,Licence cost (America),29700,,,0,,Outfitting,Spanish real,
MR004,Returns,Other returns,30165,cash,,0,,Return,Spanish real,"Payment of the fee lent for the slaves' licences, to be paid in silver coins brought from America in Seville"
MR005,Expenditure,Outfitting costs,250000,cash,,0,,Outfitting,Portuguese real,
MR005,Expenditure,Trade cargo costs,250000,credit,1,0,,Outfitting,Portuguese real,"Credit received in the Canary islands to employ in cargo, added to the 250,000 received in Lisbon, totalling 400,000"
MR005,Expenditure,Other expenses,390000,,1,0,,Outfitting,Portuguese real,"Destined for the purchase of 13 slaves reserved in Guinea (7 female, 6 male), specying the contract their price at 30,000 apiece "
MR005,Expenditure,Licence cost (Africa),91000,,,1,,Transactions during voyage,Portuguese real,Value based on the stated number of slaves to transport
MR006,Expenditure,Outfitting costs,280000,credit,1,0,,Outfitting,Portuguese real,Value to be paid in Angola in slaves by agents of the outfitters
MR006,Expenditure,Taxes,28000,,1,1,,Transactions during voyage,Portuguese real,
MR007,Expenditure,Trade cargo costs,400000,cash,1,0,,Outfitting,Portuguese real,"Cargo to be used to purchase 16 slaves for 25,000 reis a piece"
MR007,Returns,Insurance payments,800000,,,0,,Return,Portuguese real,"The contract states that the freighter undergoes the risk of the journey, and the shipmaster is bound to deliver the 16 slaves to his agent in America, or pay a fee of 20,000 spanish reales (800,000 r�is) instead"
MR008,Expenditure,Licence cost (Africa),1362000,,,1,,Outfitting,Portuguese real,"Premium of 6,000 réis per slave delivered, totalling 227"
MR008,Expenditure,Licence cost (America),74250,,1,1,,Outfitting,Spanish real,Corresponding to the licences of 200 slaves that an associate of the outfitter had in Angola + 25 paid to the ship captain
MR008,Expenditure,Insurance costs,45000,,,0,,Transactions during voyage,Portuguese real,Rate of 200 réis per slave
MR008,Expenditure,Taxes,4500,,,1,,Outfitting,Spanish real,
MR009,Expenditure,Outfitting costs,310000,cash,0,0,1619-03-14,Outfitting,Portuguese real,3 different investors with different shares in same ship
MR009,Expenditure,Outfitting costs,240000,cash,0,0,1619-03-14,Outfitting,Portuguese real,
MR009,Expenditure,Outfitting costs,200000,cash,0,0,1619-03-14,Outfitting,Portuguese real,
MR009,Returns,Freight compensation,626000,,0,0,,Return,Portuguese real,"Premium (310,000) + risk compensation (310,000) paid in the Americas with the proceeding of the sale of slaves bought in Guinea"
MR009,Returns,Freight compensation,480000,,0,0,,Return,Portuguese real,"Premium (240,000) + risk compensation (240,000)"
MR009,Returns,Freight compensation,400000,,0,0,,Return,Portuguese real,"Premium (200,000) + risk compensation (200,000)"
MR010,Expenditure,Trade cargo costs,100000,cash,0,0,1619-03-15,Outfitting,Portuguese real,
MR010,Returns,Freight compensation,200000,,0,0,,Return,Portuguese real,"Premium (100,000) + risk compensation (100,000)"
MR011,Expenditure,Trade cargo costs,410000,cash,0,0,,Outfitting,Portuguese real,To be converted in 11 slaves in Angola
MR011,Expenditure,Licence cost (Africa),77000,,0,1,,Transactions during voyage,Portuguese real,
MR011,Returns,Sale of slaves in America,738720,,0,0,,Return,Portuguese real,"Freighter undergoes the risk of the journey, shipmaster bound to deliver the 11 slaves to his agents in America, or pay 738,720 réis in silver coins instead"
