VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of investor,Name of outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting ,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Fate,Various remarks
KR001,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Fredensborg,,,Bargum Trading Society,1,KR016,35181,Copenhagen,,,1767-06-24,,1768-04-21,1768-07-09,,265,241,1,no,no,,,"Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on crew costs, trade cargo costs."
KR002,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Christiansborg,,,Bargum Trading Society,1,KR016,35178,Copenhagen,,,1766,1766-10-18,,1767-05-14,,245,224,1,no,no,,,"Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on crew costs, outfitting costs, trade cargo costs."
KR003,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Christiansborg,,,Bargum Trading Society,1,KR016,35183,Copenhagen,,,1769,,1769-10-25,1770-02-26,,323,288,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on trade cargo costs.
KR004,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Christiansborg,,,Bargum Trading Society,1,KR016,35184,Copenhagen,,,1771,,1772-03-28,1772-06-09,,267,246,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on outfitting costs.
KR005,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Christiansborg,,,Bargum Trading Society,1,KR016,35185,Copenhagen,,,,,1775-03-16,1775-06-23,,335,254,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on outfitting costs.
KR006,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Eleonora,,,Bargum Trading Society,1,KR016,35180,Copenhagen,,,,,1767-12-07,1768-02-05,,171,159,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on trade cargo costs.
KR007,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Eleonora,,,Bargum Trading Society,1,KR016,24666,Copenhagen,,,1769,,1770-08-29,1770-12-19,,203,176,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on crew costs.
KR008,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Eleonora,,,Bargum Trading Society,1,KR016,35189,Copenhagen,,,,,1773-12-04,1774,,218,207,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016.
KR009,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Ada,,,Bargum Trading Society,1,KR016,35358,Copenhagen,,,,,1768-10-01,1769-02,,201,184,1,no,no,,,Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on trade cargo costs.
KR010,Voyage,Klas Rönnbäck,Firm,Danish,"Lauring 2010, tables 1-7",,Ada,,,Bargum Trading Society,1,KR016,35344,Copenhagen,,,,,,1770,,164,162,1,no,no,,,"Additional sales reported for all Bargum ships see venture ID KR016. Data imputed on outfitting costs, trade cargo costs."
