VentureID,Type of venture,Retranscriber,Perspective of source,Nationality,Source,Date of primary source,Name of the ship,Name of the captain,Name of the owner or the outfitter,Number of voyages,Internal crossref,Voyage-ID in TSTD,Place of outfitting,Place of purchase,Place of disembarkation,Date of departure from port of outfitting ,Date trade began in Africa,Date of departure from Africa,Date vessel arrived with slaves,Date of return to port of outfitting ,Number of slaves purchased,Number of slaves sold,Share of the ship,Complete data on outlays?,Complete data on returns?,Profits reported in source,Various remarks
MR001,Commercial Firm,Miguel Rodrigues,Firm,Portuguese,"ANTT, Not, C1, Cx.1, L3, f. 58-60v",1600-11-04,Santo António,André Preto,"Diogo de la Carrera, Francisco de la Carrera, Bernardo de Ceballos",1,MR002,,Lisbon,Angola,Cartagena,,,,,,,,,Unknown,Unknown,,"Commercial firm, investment registered in Seville and Lisbon, returns dependent on sale of slaves in Cartagena. Francisco de la Carrera and Bernardo de Ceballos were to travel in the ship and send the returns to Diogo de la Carrera in Lisbon. Each men were to received 12% each of the slave sales recorded in Cartagena"
MR002,Voyage,Miguel Rodrigues,Investor,Portuguese,"ANTT, Not, C1, Cx.1, L4, f. 14v-17",1600-12-20,Santo António,André Preto,Diogo de la Carrera,1,MR001,,Lisbon,Angola,Cartagena,,,4 ½ months after arrival,,,250,,35 tons,Unknown,Unknown,,"Outfitting of the ship and recuitment of captain following the celebration of a commercial company between 3 merchants. Ship was freighted to sail from Lisbon to Santa Maria (Canary Islands) first, where it would load wine and other cargos, and from there to Angola to exchange those goods for slaves, and then travel to Cartagena de Indias. Francisco de la Carrera, brother of Diogo (main investor) sails with the ship as shipmaster to oversee the venture."
MR003,Voyage,Miguel Rodrigues,Investor,Portuguese,"ANTT, Not, C2, Cx.22, L110, f. 99-100",1617-10-24,São Francisco,Pedro Vaz de Lemos,"Gaspar da Rua, Diogo da Silva",1,MR004 / MR005,29452,Lisbon,"Cacheu, Upper Guinea",Cartagena,1618,,,1619-08-15,,More than 200,203,3 slaves,Unknown,Unknown,,"The two investors entrust the captain with a cargo of cloth from India, to be exchanged for slaves in Cacheu after a stopover in the Canary Islands, and delivered in Cartagena to named agents for the settlement of a debt. Diogo da Silva assumes the payment of slaves duties, freight, and licences."
MR004,Voyage,Miguel Rodrigues,Investor,Portuguese,"ANTT, Not, C2, Cx.22, L110, f. 129-30",1617-12-24,São Francisco,Pedro Vaz de Lemos,Francisco Gomes Sardinha,1,MR003 / MR005,29452,Lisbon,"Cacheu, Upper Guinea",Cartagena,1618,,,1619-08-15,,More than 200,203,100 slaves,Unknown,Unknown,,"The main investor purchased 100 licenses directly from another captain, Estevão Pais, and entrusted captain Pedro Vaz to deliver the slaves to named agents in Cartagena, who should then sell them for silver or Spanish pesos, and charge the profits through bills of exchange in Seville"
MR005,Voyage,Miguel Rodrigues,Investor,Portuguese,"ANTT, Not, C2, Cx.22, L111, f. 98-100",1617-10,São Francisco,Pedro Vaz de Lemos,Paio Ruiz da Paz,1,MR003 / MR004,29452,Lisbon,"Cacheu, Upper Guinea",Cartagena,1618,,,1619-08-15,,More than 200,203,13 slaves,Unknown,Unknown,,"The investor entrust the captain with an amount of coins + credit to be charged at the stopover in the Canary Islands and exchanged for trading goods, before going to Guinea and exchange the said cargo for slaves. The slaves were to be sold in either Cartagena or Veracruz, or in the stopovers in Pernambuco and Jamaica, and the profits charged through bills of exchange"
MR006,Voyage,Miguel Rodrigues,Shareholders,Portuguese,"ANTT, Not, C2, Cx.22, L111, f. 131-132",1617-11-15,São Jorge,"Jorge Leitão Couto, Manuel Fernandes","Gaspar Pacheco, Luis Ferreira, João Sinal",1,,,Lisbon,Angola,Brazil / Spanish Indies,,,,,,,,37 tons,Unknown,Unknown,,"The investors agree to charter the ship to the captain and shipmaster to sail to Angola with their cargo to sell in Luanda, with each owing a different share on the ship: 2 tons, 15 tons, and 30 tons with a fixed amount per ton. The cargo should be exchanged for slaves, and the journey should proceed to either Spanish America or Brazil, and the profits from the slaves sale delivered to named agents in the respective ports. "
MR007,Voyage,Miguel Rodrigues,Investor,Portuguese,"ANTT, Not, C2, Cx.23, L113, f.9-11",1617-11,Nossa Senhora da Nazaré,Francisco Fernandes,"Jorge Coronel, Diogo Coronel",1,,29445,Lisbon,Angola,Cartagena / Veracruz / Pernambuco,,,,,,413,180,16-20 slaves,Unknown,Unknown,,"The investors celebrated a contract with the captain and the shipmaster, entrusting them a sum that should be used to purchase cargo in Madeira, before travelling to Angola. The money should cover the costs of purchase, freight, and licensing of slaves, 16 if taken to the Spanish Indies, or 20 if taken to Brazil. The two Coronel brothers cover the risks of the journey, and name agents in every port to receive the slaves, whose profit from sale should be declared and sent through the Carrera de Indias and charged in Sevilla (if sold in Spanish America), or charged in Lisbon through bills of exchange (if sold in Pernambuco).  "
MR008,Voyage,Miguel Rodrigues,Investor,Portuguese,"ANTT, Not, C2, Cx.23, L113, f. 78",1618-02-01,Nossa Senhora do Socorro,Cosme Gonçalves,"Heitor Mendes, Domingos Simón de Acuña",1,,42808,Cadiz / San Lucar,Angola,"Trujillo, Honduras",,,,1621,,200,227, 200-250 slaves,Unknown,Unknown,,"Heitor Mendes is signing the deed as a Portuguese representative of the Spanish merchant Domingos Simón de Acuña. The contract financed the purchase of 200 slaves, yet the ship recorded 227 upon arrival. While no accurate dates are provided for the beginning of the journey, the arrival in the Americas was recorded in 1621. The contract also stipulates a stoppage in Angola lasting 8 months, so it is possible that it began late 1619/early 1620. The captain was entitled to 35 out of 200 slaves."
MR009,Voyage,Miguel Rodrigues,Owner,Portuguese,"ANTT, Not, C2, Cx.23, L116, f. 6",1619-03-14,Nossa Senhora da Pureza,Vicente Simões Fragoso,"Manuel Ruiz Dias, Francisco Ruiz Dias, Duarte Dias Franco, Luis Peres de Sea",1,MR010,28193,Seville,"Cacheu, Upper Guinea",Cartagena,1619,,,1621-07-18,,400,320,,Unknown,Unknown,,"The 4 businessmen advance money to the captain, and the operation is divided on 3 different accounts (brothers Manuel and Francisco Ruiz Dias participate together). According to the bound, the captain was to invest the credit he received in cargo, and exchange it for slaves in the River of São Domingos in Guinea, and ship them to Spanish America. Upon selling them (in Cartagena), he had to reimburse the principal + interest of the credit he received to agents of the businessmen stationed in that port, according to their respective investment on the journey."
MR010,Voyage,Miguel Rodrigues,Owner,Portuguese,"ANTT, Not, C2, Cx.23, L116, f. 11",1619-03-15,Nossa Senhora da Pureza,Vicente Simões Fragoso,"Luis Lopes Cardoso, Luis Nunes de Sousa",1,MR009,28193,Seville,"Cacheu, Upper Guinea",Cartagena,1619,,,1621-07-18,,400,320,,Unknown,Unknown,,"Luis Lopes Cardoso, merchant, buys passage on board the Nossa Senhora da Pureza set to depart to Guinea, and asks for credit to Luis Nunes de Sousa, so he can invest in slaves and sell them in Cartagena, and would reimburse the principal + interest to Sousa's agents with the profits from the slave sales."
