ventureid,irr,nomdunavire,irr_2004,diff,results
GD001,.81,Le St-Claude,3.17,2.3599999,OK
GD003,14.33,Le St-Hilaire,13.37,.95999992,OK
GD013,-17.620001,Le Dom Carlos,-17.6,.02000084,OK
GD014,3.9099998,La Généreuse,4.01,.10000015,OK
GD015,.02,La Fille Unique,.01,.0099999998,OK
GD016,-3.05,La Marie-Anne,-3.01,.039999951,OK
GD017,18.299999,Le Maréchal de Luxembourg,18.64,.34000075,OK
GD018,13.099999,Le St-Charles,13.06,.039999429,OK
GD019,-.30000001,La Concorde,-.32,.019999988,OK
GD020,9.3199997,Le Saint-Julien,8.27,1.0499997,OK
GD021,11.87,Le St-Guillaume,11.88,.010000114,OK
GD022,-4.3400002,Le Prince Noir,-5.99,1.6499999,OK
GD023,33.23,L'Union,33.22,.0099995425,OK
GD025,-7.4600005,,,,"OK, new value "
GD026,-26.26,,,,"OK, new value "
GD027,-1.15,Le Mars,-2.03,.88,OK
GD029,-13.54,,,,"OK, new value "
GD033,-13.74,,,,"OK, new value "
GD034,-48.34,Le Comte de Montmorin,-48.35,.009999847,OK
GD035,-3.3199999,,,,"OK, new value "
GD036,8.9099998,,,,"OK, new value "
GD037,-11.83,,,,"OK, new value "
GD038,-90.029999,Le Zéphir,-90.03,1.2207031e-06,OK
GD039,2.3299999,L'Amphitrite,2.46,.13000007,OK
GD040,-.0099999998,,,,"OK, new value "
GD041,-15.22,La Rosalie,-15.25,.029999733,OK
GD042,9.96,,,,"OK, new value "
GD043,16.779999,,,,"OK, new value "
GD044,-31.130001,,,,"OK, new value "
GD045,8.8800001,,,,"OK, new value "
GD046,-4.0799999,,,,"OK, new value "
GD002,,Le St-René,5.98,,
