ventureid,irr,nomdunavire,irr_2004,diff,results,irr_monthly
GD001,.81,Le St-Claude,3.1700001,2.3599999,OK,1.2066221
GD002,,Le St-René,5.98,,,
GD003,14.33,Le St-Hilaire,13.37,.95999992,OK,18.856958
GD013,-17.620001,Le Dom Carlos,-17.6,.02000084,OK,-18.69598
GD014,3.9099998,La Généreuse,4.0100002,.10000015,OK,11.350967
GD015,.02,La Fille Unique,.0099999998,.0099999998,OK,.12006602
GD016,-3.05,La Marie-Anne,-3.01,.039999951,OK,-3.6572247
GD017,18.299999,Le Maréchal de Luxembourg,18.639999,.34000075,OK,17.180815
GD018,13.099999,Le St-Charles,13.06,.039999429,OK,14.43532
GD019,-.30000001,La Concorde,-.31999999,.019999988,OK,-.4789454
GD020,9.3199997,Le Saint-Julien,8.2700005,1.0499997,OK,10.690623
GD021,11.87,Le St-Guillaume,11.88,.010000114,OK,13.488414
GD022,-4.3400002,Le Prince Noir,-5.9899998,1.6499999,OK,-9.1886635
GD023,33.23,L'Union,33.220001,.0099995425,OK,46.614174
GD025,-7.4600005,,,,"OK, new value ",-8.6378765
GD026,-26.26,,,,"OK, new value ",-31.04373
GD027,-1.15,Le Mars,-2.03,.88,OK,-1.3120432
GD029,-13.54,,,,"OK, new value ",-14.427578
GD033,-13.74,,,,"OK, new value ",-18.993267
GD034,-48.34,Le Comte de Montmorin,-48.349998,.009999847,OK,-44.582954
GD035,-3.3199999,,,,"OK, new value ",-4.3507514
GD036,8.9099998,,,,"OK, new value ",11.350967
GD037,-11.83,,,,"OK, new value ",-14.739143
GD038,-90.029999,Le Zéphir,-90.029999,1.2207031e-06,OK,-99.900726
GD039,2.3299999,L'Amphitrite,2.46,.13000007,OK,5.9145236
GD040,-.0099999998,,,,"OK, new value ",-1.1257661e-10
GD041,-15.22,La Rosalie,-15.25,.029999733,OK,-21.239578
GD042,9.96,,,,"OK, new value ",31.065575
GD043,16.779999,,,,"OK, new value ",35.278248
GD044,-31.130001,,,,"OK, new value ",-33.561123
GD045,8.8800001,,,,"OK, new value ",11.086397
GD046,-4.0799999,,,,"OK, new value ",-5.3824635
