ventureid,profit,JEH2004,diffresuultprofit,commentfromklas,problem,variousremarks,source
GD004,.23276171,.82164115,.58887947,No calc from Klas code,Check OK but substantial mismatch,There was an error in slave sales. True returns corrected ,"Meyer (1975), p. 276 and 304-305 et Rinchon (1956) p. 58-59"
GD059,-1,,,.,NA,No equivalent in the STDT,"Meyer (1975), p.281"
GD079,-1,,,.,NA,Révolte de Noirs (perte totale) and « pris par les anglais »,"Meyer (1975), p. 378-379"
GD092,-1,,,.,NA,"« pris entre Afrique et les Iles », but only some slave are captured by corsaires, according to the STDT","Meyer (1975), p. 382-383"
GD058,-1,,,.,NA,Not sure of the  equivalent in the STDT,"Meyer (1975), p.281"
GD137,-1,,,,NA,,"Meyer (1975), p. 402-403 and 289 and 304-304"
GD047,-1,,,.,NA,No equivalent in the STDT,"Meyer (1975), p. 276"
GD074,-1,,,.,NA,Navire pris par les portugais,"Meyer (1975), p. 278 "
GD138,-1,,,,NA,,"Meyer (1975), p. 278  and 304-305"
GD008,-1,,,.,NA,Outfited for « la Compagnie de d’Asiento ». No data on return or désarmement,"Meyer (1975), p. 275-276 and Rinchon p40-41"
GD005,-1,,,.,NA,,"Meyer (1975), p. 276"
GD082,-1,,,.,NA,"No equivalent in the STDT, « pris par les anglais »","Meyer (1975), p. 380-381"
GD006,-1,,,.,NA,"le bateau échoue, Les esclaves s’enfuient, et le capitaine gaspille reste cargaison avec « des mulatresse ». Deguer reçoit 12 000 lt des assureurs, mais on ne sais pas quelle est sa part (rinchon). ","Meyer (1975), p. 275-276 and Rinchon (1956), p. 33"
GD083,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD125,-1,,,.,NA,The captain cheated with the sold of slaves. Really few documentation. The vessel had a ship wreck in Bretagne,"Rinchon,p.126-133"
GD088,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD010,-1,,,.,NA,"Outfited for « la Compagnie de d’Asiento » Value of the cargo missing, « condamné à Porto Rico  comme impropre à la navigation »","Meyer (1975), p. 275-276"
GD086,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD054,-1,,,,NA,,"Meyer (1975), p. 278  and 304-305 and 402-403"
GD071,-1,,,.,NA,No equivalent in the STDT: Only “suspecté de traite” by Meyer,"Meyer (1975), p. 282"
GD096,-1,,,.,NA,« pris entre Afrique et les Iles »,"Meyer (1975), p. 382-383"
GD069,-1,,,.,NA,,"Meyer (1975), p. 282 and 304-305"
GD087,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD085,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD091,-1,,,.,NA,« pris entre Afrique et les Iles »,"Meyer (1975), p. 382-383"
GD089,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD009,-1,,,.,NA,Outfited for « la Compagnie de d’Asiento ». No data on return or désarmement,"Meyer (1975), p. 275-276 and Rinchon p41"
GD094,-1,,,.,NA,"« pris entre Afrique et les Iles », but some slave disembarked in america","Meyer (1975), p. 382-383"
GD050,-1,,,.,NA,,"Meyer (1975), p. 276 and 304-305"
GD084,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD121,-1,,,.,NA,No equivalent in the STDT,"Rinchon, p,99-133"
GD051,-1,,,.,NA,,"Meyer (1975), p. 276 and 304-305"
GD090,-1,,,.,NA,« pris par les anglais »,"Meyer (1975), p. 380-381"
GD053,-1,,,.,NA,No equivalent in the STDT,"Meyer (1975), p. 278  and 304-305 and 402-403"
GD081,-1,,,.,NA,,"Meyer (1975), p. 304-305"
GD056,-1,,,.,NA,,"Meyer (1975), p.279 p 304-305"
GD055,-1,,,.,NA,,"Meyer (1975), p. 279"
GD095,-1,,,.,NA,"« pris entre Afrique et les Iles », but some slave disembarked in america","Meyer (1975), p. 382-383"
GD026,-.50926489,-.50925171,.000013172626,No calc from Klas code,OK,,"Meyer (1975), p. 404-405"
GD042,.33784968,.33781469,.000034987926,No calc from Klas code,OK,"one equivalent in the STDT for each vessel name. Strange, because each of the 3 captains are listed for each vessels. In the STDT, sources come from Mettas","Meyer (1975), p. 410-411"
GD052,-.57935458,-.57930756,.000047028065,No calc from Klas code,OK,"No equivalent in the STDT / Henry Quatre is now divided in the venture GD052  and GD138, same values as 2004 has been recovered. ","Meyer (1975), p. 278  and 304-305 and 402-403"
GD063,-.11740065,-.25995883,.14255819,Substantial mismatch,OK,No equivalent in the STDT,"Meyer (1975), p.281"
GD106,.43808231,.43808231,0,No calc from Klas code,OK,,"Roman, p.198"
GD072,.11726098,.051563136,.065697841,No calc from Klas code,OK,« armé par la compagnie de L’Asiento »,"Meyer (1975), p. 276"
GD021,.42840439,.42254093,.0058634579,OK,OK,"In the tstd, contradictory information about the name of the captain (probably a mistake) & the nationality & the vessel is qualified as Shipwrecked or destroyed","Meyer (1975), p. 398-399"
