VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,estimate,dateoftransaction,timing,currency,remarks
GK001,Expenditure,Value of ship before departure,30000,,,,,Outfitting,Dutch Guilder,
GK001,Expenditure,Outfitting costs,13115,,,,,Outfitting,Dutch Guilder,
GK001,Expenditure,Advance crew payment,1719,,,,,Outfitting,Dutch Guilder,
GK001,Expenditure,Insurance hull,1664,,,,,Outfitting,Dutch Guilder,
GK001,Expenditure,Insurance cargo,1301,,,,,Outfitting,Dutch Guilder,
GK001,Expenditure,Trade cargo costs,56459,,,,,Outfitting,Dutch Guilder,
GK001,Expenditure,Other expenses,9019,,,,,Outfitting,Dutch Guilder,
GK001,Return,Value of ship after voyage,27000,,,,,Return,Dutch Guilder,
GK001,Return,Bills of exchange sold,97062,,,,,Return,Dutch Guilder,
GK001,Expenditure,Wages crew (including bonuses),10958,,,,,Return,Dutch Guilder,
GK001,Expenditure,Other expenses,1259,,,,,Return,Dutch Guilder,
GK002,Expenditure,Value of ship before departure,27000,,,,,Outfitting,Dutch Guilder,
GK002,Expenditure,Outfitting costs,15888,,,,,Outfitting,Dutch Guilder,
GK002,Expenditure,Advance crew payment,1772,,,,,Outfitting,Dutch Guilder,
GK002,Expenditure,Insurance hull,1659,,,,,Outfitting,Dutch Guilder,
GK002,Expenditure,Insurance cargo,1485,,,,,Outfitting,Dutch Guilder,
GK002,Expenditure,Trade cargo costs,56167,,,,,Outfitting,Dutch Guilder,
GK002,Expenditure,Other expenses,8047,,,,,Outfitting,Dutch Guilder,
GK002,Return,Value of ship after voyage,24000,,,,,Return,Dutch Guilder,
GK002,Return,Bills of exchange sold,39058,,,,,Return,Dutch Guilder,
GK002,Return,Outstanding claims in colony,60489,credit,,,,Return,Dutch Guilder,
GK002,Return,Freight and passengers,5393,,,,,Return,Dutch Guilder,
GK002,Expenditure,Wages crew (including bonuses),13217,,,,,Return,Dutch Guilder,
GK002,Expenditure,Insurance on return,45,,,,,Return,Dutch Guilder,
GK002,Expenditure,Other expenses,3428,,,,,Return,Dutch Guilder,
GK003,Expenditure,Value of ship before departure,24000,,,,,Outfitting,Dutch Guilder,
GK003,Expenditure,Outfitting costs,16238,,,,,Outfitting,Dutch Guilder,
GK003,Expenditure,Advance crew payment,2476,,,,,Outfitting,Dutch Guilder,
GK003,Expenditure,Insurance hull,1385,,,,,Outfitting,Dutch Guilder,
GK003,Expenditure,Insurance cargo,1857,,,,,Outfitting,Dutch Guilder,
GK003,Expenditure,Trade cargo costs,49888,,,,,Outfitting,Dutch Guilder,
GK003,Expenditure,Other expenses,7834,,,,,Outfitting,Dutch Guilder,
GK003,Return,Value of ship after voyage,21000,,,,,Return,Dutch Guilder,
GK003,Return,Plantation produce received,39462,,,,,Return,Dutch Guilder,
GK003,Return,Outstanding claims in colony,32552,credit,,,,Return,Dutch Guilder,
GK003,Return,African goods sold,13875,,,,,Return,Dutch Guilder,
GK003,Expenditure,Wages crew (including bonuses),10031,,,,,Return,Dutch Guilder,
GK003,Expenditure,Insurance on return,1269,,,,,Return,Dutch Guilder,
GK003,Expenditure,Other expenses,754,,,,,Return,Dutch Guilder,
GK004,Expenditure,Value of ship before departure,20400,,,,,Outfitting,Dutch Guilder,
GK004,Expenditure,Outfitting costs,20010,,,,,Outfitting,Dutch Guilder,
GK004,Expenditure,Advance crew payment,2081,,,,,Outfitting,Dutch Guilder,
GK004,Expenditure,Insurance hull,588,,,,,Outfitting,Dutch Guilder,
GK004,Expenditure,Insurance cargo,2935,,,,,Outfitting,Dutch Guilder,
GK004,Expenditure,Trade cargo costs,49317,,,,,Outfitting,Dutch Guilder,
GK004,Expenditure,Other expenses,7446,,,,,Outfitting,Dutch Guilder,
GK004,Return,Value of ship after voyage,18000,,,,,Return,Dutch Guilder,
GK004,Return,Bills of exchange sold,62990,,,,,Return,Dutch Guilder,
GK004,Return,Plantation produce received,4838,,,,,Return,Dutch Guilder,
GK004,Return,Outstanding debts in colony,12230,,,,,Return,Dutch Guilder,
GK004,Return,Freight and passengers,200,,,,,Return,Dutch Guilder,
GK004,Return,African goods sold,15579,,,,,Return,Dutch Guilder,
GK004,Return,Returned trade cargo,81,,,,,Return,Dutch Guilder,
GK004,Expenditure,Wages crew (including bonuses),12422,,,,,Return,Dutch Guilder,
