,Africa Eltis,Africa Richardson,Africa spliced,America Galenson,America Eltis et al,America spliced,Markup
1656,,,,,,,
1657,,,,,,,
1658,,,,,,,
1659,,,,,,,
1660,,,,,,,
1661,,,,,,,
1662,,,,,,,
1663,3.44,,3.44,,,,
1664,4.06,,4.06,,,,
1665,3.63,,3.63,,,,
1666,,,,,,,
1667,,,,,,,
1668,,,,,,,
1669,,,,,,,
1670,,,,,,,
1671,,,,,,,
1672,,,,,,,
1673,,,,13.44,20.51,20.51,
1674,3.46,,3.46,15.31,19.856912568306,19.856912568306,5.73899207176474
1675,3.97,,3.97,15.04,22.335666023166,22.335666023166,5.62611234840454
1676,2.67,,2.67,14.22,19.3711512605042,19.3711512605042,7.25511283164951
1677,3.04,,3.04,16.8,18.8866369993643,18.8866369993643,6.21270953926456
1678,2.31,,2.31,13.5,17.9363796133568,17.9363796133568,7.76466649928864
1679,2.65,,2.65,18.59,16.4973729863693,16.4973729863693,6.22542376844123
1680,2.54,,2.54,13.01,18.1070844212359,18.1070844212359,7.12877339418735
1681,2.96,,2.96,13.21,15.9291366184379,15.9291366184379,5.38146507379659
1682,3.27,,3.27,14.08,16.6561084624553,16.6561084624553,5.09361115059795
1683,3.78,,3.78,12.41,16.0146405228758,16.0146405228758,4.23667738700418
1684,,,,12.78,16.4381082214765,16.4381082214765,
1685,3.41,,3.41,,19.5711086956522,19.5711086956522,
1686,3.21,,3.21,13.28,18.7035310920677,18.7035310920677,5.82664520002108
1687,3.1,,3.1,12.42,16.7462440191388,16.7462440191388,5.40201419972218
1688,3.1,,3.1,13.15,17.8504120879121,17.8504120879121,5.75819744771358
1689,3.49,,3.49,14.17,19.2321821631879,19.2321821631879,5.51065391495354
1690,,,,16.27,23.1713513513513,23.1713513513513,
1691,4.15,,4.15,14.29,19.5623731587561,19.5623731587561,4.7138248575316
1692,,,,14.49,18.9337579617834,18.9337579617834,
1693,4.22,,4.22,16.22,20.538520761659,20.538520761659,4.8669480477865
1694,4.16,,4.16,16.94,19.7923831506059,19.7923831506059,4.75778441120334
1695,,,,20.44,24.1982377919321,24.1982377919321,
1696,4.9,,4.9,23.16,29.25,29.25,5.96938775510204
1697,4.62,,4.62,17.48,22.5671173469388,22.5671173469388,4.88465743440233
1698,5.45,,5.45,15.8,20.7670827489481,20.7670827489481,3.81047389888956
1699,,5.8,5.8,15.19,23.1841910631741,23.1841910631741,3.99727432123692
1700,,6.1,6.1,24.71,23.53473727422,23.53473727422,3.85815365151148
1701,,4.1,4.1,20.21,22.1127748132337,22.1127748132337,5.39335971054481
1702,,3.6,3.6,21.77,20.3280679301009,20.3280679301009,5.64668553613914
1703,,5.9,5.9,20.87,25.3943982895541,25.3943982895541,4.30413530331425
1704,,5.2,5.2,26.28,28.2694020697585,28.2694020697585,5.43642347495356
1705,,5.3,5.3,26.22,26.2531779516842,26.2531779516842,4.95342980220457
1706,,4.1,4.1,17.9,24.9420589548906,24.9420589548906,6.08342901338795
1707,,5.8,5.8,13.65,21.7082049418605,21.7082049418605,3.74279395549318
1708,,6.8,6.8,19.17,25.1703460620525,25.1703460620525,3.7015214797136
1709,,5.4,5.4,19.88,26.12388996139,26.12388996139,4.8377574002574
1710,,6.8,6.8,20.97,22.5189306930693,22.5189306930693,3.31160745486313
1711,,5.6,5.6,21.05,25.55,25.55,4.5625
1712,,2.4,2.4,,,,
1713,,5.8,5.8,,,,
1714,,4,4,,22.9342741935484,22.9342741935484,5.7335685483871
