Year,WarsUK,CommentUK,WarsDK,CommentDK,WarsFR,CommentFR,WarsNL,CommentNL,WarsSP,CommensSP
1730,0,,0,,0,,0,,0,
1731,0,,0,,0,,0,,0,
1732,0,,0,,0,,0,,0,
1733,0,,0,,0,,0,,0,
1734,0,,0,,0,,0,,0,
1735,0,,0,,0,,0,,1,Spanish-Portuguese War
1736,0,,0,,0,,0,,1,Spanish-Portuguese War
1737,0,,0,,0,,0,,1,Spanish-Portuguese War
1738,0,,0,,0,,0,,0,
1739,1,War of Jenkins Ear & War of Austrian Succession,0,,0,,0,,1,War of Jenkins Ear & War of Austrian Succession
1740,1,War of Jenkins Ear & War of Austrian Succession,0,,0,"War of Austrian Succession, but no maritime war",0,,1,War of Jenkins Ear & War of Austrian Succession
1741,1,War of Jenkins Ear & War of Austrian Succession,0,,0,"War of Austrian Succession, but no maritime war",0,,1,War of Jenkins Ear & War of Austrian Succession
1742,1,War of Jenkins Ear & War of Austrian Succession,0,,0,"War of Austrian Succession, but no maritime war",0,,1,War of Jenkins Ear & War of Austrian Succession
1743,1,War of Jenkins Ear & War of Austrian Succession,0,,0,"War of Austrian Succession, but no maritime war",0,,1,War of Jenkins Ear & War of Austrian Succession
1744,1,War of Jenkins Ear & War of Austrian Succession,0,,1,War of Austrian Succession,0,,1,War of Jenkins Ear & War of Austrian Succession
1745,1,War of Jenkins Ear & War of Austrian Succession,0,,1,War of Austrian Succession,0,,1,War of Jenkins Ear & War of Austrian Succession
1746,1,War of Jenkins Ear & War of Austrian Succession,0,,1,War of Austrian Succession,0,,1,War of Jenkins Ear & War of Austrian Succession
1747,1,War of Jenkins Ear & War of Austrian Succession,0,,1,War of Austrian Succession,0,,1,War of Jenkins Ear & War of Austrian Succession
1748,1,War of Jenkins Ear & War of Austrian Succession,0,,1,War of Austrian Succession,0,,1,War of Jenkins Ear & War of Austrian Succession
1749,0,,0,,0,,0,,0,
1750,0,,0,,0,,0,,0,
1751,0,,0,,0,,0,,0,
1752,0,,0,,0,,0,,0,
1753,0,,0,,0,,0,,0,
1754,0,,0,,0,,0,,0,
1755,1,"Before the Seven Years’ War, maritime hostility with France (« Rafle de Boscawen »). ",0,,1,"Before the Seven Years’ War, maritime hostility with Britain (« Rafle de Boscawen »). ",0,,0,
1756,1,Seven Years’ War,0,,1,Seven Years’ War,0,,1,Seven Years’ War
1757,1,Seven Years’ War,0,,1,Seven Years’ War,0,"Around this time, many Dutch ships were seized by British privateers/war ships. Even though the British were allies, the captures were supposedly for carrying contraband.",1,Seven Years’ War
1758,1,Seven Years’ War,0,,1,Seven Years’ War,0,"Around this time, many Dutch ships were seized by British privateers/war ships. Even though the British were allies, the captures were supposedly for carrying contraband.",1,Seven Years’ War
1759,1,Seven Years’ War,0,,1,Seven Years’ War,0,"Around this time, many Dutch ships were seized by British privateers/war ships. Even though the British were allies, the captures were supposedly for carrying contraband.",1,Seven Years’ War
1760,1,Seven Years’ War,0,,1,Seven Years’ War,0,"Around this time, many Dutch ships were seized by British privateers/war ships. Even though the British were allies, the captures were supposedly for carrying contraband.",1,Seven Years’ War
1761,1,Seven Years’ War,0,,1,Seven Years’ War,0,"Around this time, many Dutch ships were seized by British privateers/war ships. Even though the British were allies, the captures were supposedly for carrying contraband.",1,Seven Years’ War
1762,1,Seven Years’ War,0,,1,Seven Years’ War,0,"Around this time, many Dutch ships were seized by British privateers/war ships. Even though the British were allies, the captures were supposedly for carrying contraband.",1,Seven Years’ War
1763,1,Seven Years’ War,0,,1,Seven Years’ War,0,,1,Seven Years’ War
1764,0,,0,,0,,0,,0,
1765,0,,0,,0,,0,,0,
1766,0,,0,,0,,0,,0,
1767,0,,0,,0,,0,,0,
1768,0,,0,,0,,0,,0,
1769,0,,0,,0,,0,,0,
1770,0,,0,,0,,0,,0,
1771,0,,0,,0,,0,,0,
1772,0,,0,,0,,0,,0,
1773,0,,0,,0,,0,,0,
1774,0,,0,,0,,0,,0,
1775,1,American Revolutionary Wars / Anglo-French War,0,,0,,0,,1,American Revolutionary Wars / Anglo-Spanish War
1776,1,American Revolutionary Wars / Anglo-French War,0,,0,,0,,1,American Revolutionary Wars / Anglo-Spanish War
1777,1,American Revolutionary Wars / Anglo-French War,0,,0,,0,,1,American Revolutionary Wars / Anglo-Spanish War
1778,1,American Revolutionary Wars / Anglo-French War,0,,1,American Revolutionary Wars / Anglo-French War,0,,1,American Revolutionary Wars / Anglo-Spanish War
1779,1,American Revolutionary Wars / Anglo-French War,0,,1,American Revolutionary Wars / Anglo-French War,0,,1,American Revolutionary Wars / Anglo-Spanish War
1780,1,American Revolutionary Wars / Anglo-French War / Fourth Anglo-Dutch War,0,,1,American Revolutionary Wars / Anglo-French War,1,Fourth Anglo-Dutch War,1,American Revolutionary Wars / Anglo-Spanish War
1781,1,American Revolutionary Wars / Anglo-French War / Fourth Anglo-Dutch War,0,,1,American Revolutionary Wars / Anglo-French War,1,Fourth Anglo-Dutch War,1,American Revolutionary Wars / Anglo-Spanish War
1782,1,American Revolutionary Wars / Anglo-French War / Fourth Anglo-Dutch War,0,,1,American Revolutionary Wars / Anglo-French War,1,Fourth Anglo-Dutch War,1,American Revolutionary Wars / Anglo-Spanish War
