,Guilders per pound sterling,Livres tournois per pound sterling,Francs per pounds sterling,Rixdollars per pound sterling,Rigsbankdaler per pound sterling
1720,10.725,,,,
1721,10.307,,,,
1722,10.622,,,5.605,
1723,10.457,,,5.48,
1724,10.494,,,5.452,
1725,,,,5.607,
1726,10.657,,,5.203,
1727,10.494,,,5.188,
1728,10.241,,,5.105,
1729,10.23,,,,
1730,10.275,,,4.875,
1731,10.347,,,4.928,
1732,10.344,,,4.969,
1733,10.503,,,4.965,
1734,10.644,,,5.153,
1735,10.685,,,5.192,
1736,10.545,,,5.144,
1737,10.417,,,4.802,
1738,10.507,,,4.902,
1739,10.589,,,5.005,
1740,10.427,,,4.99,
1741,10.355,,,4.977,
1742,10.46,,,4.883,
1743,10.31,,,5.033,
1744,10.344,,,5.084,
1745,10.357,,,5.115,
1746,10.514,,,5.223,
1747,10.572,,,5.084,
1748,10.652,,,4.982,
1749,,,,4.985,
1750,10.445,,,4.841,
1751,10.614,,,4.874,
1752,10.5,,,4.841,
1753,10.444,,,4.852,
1754,10.696,,,4.907,
1755,10.818,,,5.026,
1756,10.784,,,5.225,
1757,10.492,,,5.092,
1758,10.342,,,4.892,
1759,,,,4.999,
1760,10.415,23.43,,4.996,
1761,10.3,22.831,,5.139,
1762,10.486,,,5.464,
1763,10.49,22.548,,5.281,
1764,10.885,23.24,,5.586,
1765,10.823,23.068,,5.206,
1766,10.385,22.505,,5.216,
1767,10.354,22.513,,5.315,
1768,10.379,22.682,,5.231,
1769,10.252,22.436,,5.24,
1770,10.188,22.572,,5.168,
1771,10.312,22.587,,5.216,
1772,10.425,22.634,,5.263,
1773,10.695,23.87,,5.602,
1774,10.78,23.625,,5.452,
1775,10.61,23.295,,5.21,
1776,10.262,23.325,,5.09,
1777,10.255,22.952,,4.947,
1778,10.656,23.842,,5.147,
1779,10.831,24.42,,5.487,
1780,10.701,23.962,,5.393,
1781,10.16,23.159,,5.175,
1782,10.119,22.547,,5.244,
1783,10.163,22.745,,5.475,
1784,10.979,24.054,,5.758,
1785,11.233,24.926,,5.876,
1786,10.989,24.606,,5.819,
1787,11.029,24.293,,6.039,
1788,11.3,24.708,,6.276,
1789,11.398,25.528,,6.76,
1790,11.612,27.082,,6.547,
1791,11.546,30.406,,6.069,
1792,11.055,40.401,,5.802,
1793,11.614,52.55,,6.131,
1794,11.98,,,5.544,
1795,12.15,,,4.925,
1796,,,26.484,5,
1797,,,28.383,5.475,
1798,,,,5.723,
1799,,,,5.496,
1800,11.328,,,5.09,
1801,11.251,,22.734,5.329,
1802,10.966,,22.98,5.697,
1803,10.702,,23.785,5.856,
1804,11.132,,24.597,6.254,
1805,11.057,,25.034,5.955,
1806,10.719,,23.764,5.835,
1807,10.757,,,6.127,
1808,,,,,
1809,,,,,
1810,,,,,
1811,,,22.825,,
1812,,,,,
1813,8.825,,,,
1814,9.448,,21.197,,19.719
1815,9.907,,22.261,,23.833
1816,11.559,,24.84,,30.65
1817,11.336,,24.409,,26.75
1818,10.95,,23.877,,13.219
1819,11.199,,24.062,,9.99
1820,11.979,,25.373,,11.97
