------------------------------------------------------------------------------------------------------------------
                                                          |                       Nationality                     
                                                          |  Danish    Dutch   English   French   Spanish    Total
----------------------------------------------------------+-------------------------------------------------------
Imputed total slaves embarked                             |                                                       
  Mean                                                    |     420      272       271      368       496      295
  Median                                                  |     429      261       270      361       505      275
  Standard deviation                                      |      69       73       121      134       136      124
  Minimum value                                           |     304       46        60      129       235       46
  Maximum value                                           |     475      479       980      691       739      980
  Number of nonmissing values                             |       5      101       180       34        17      337
Enslaved person mortality rate                            |                                                       
  Mean                                                    |    0.16     0.08      0.14     0.15      0.13     0.12
  Median                                                  |    0.14     0.05      0.13     0.14      0.12     0.11
  Standard deviation                                      |    0.13     0.09      0.06     0.11      0.03     0.08
  Minimum value                                           |    0.00     0.00     -0.12     0.00      0.06    -0.12
  Maximum value                                           |    0.34     0.57      0.44     0.50      0.18     0.57
  Number of nonmissing values                             |       5      101       180       33        17      336
Total net expenditure in g. of silver per enslaved person |                                                       
  Mean                                                    |   1,836    3,011     2,514    2,976     3,602    2,755
  Median                                                  |   2,035    2,707     2,274    2,626     3,610    2,502
  Standard deviation                                      |     439    1,507     1,190    1,828     1,037    1,384
  Minimum value                                           |   1,179    1,381       456      994     1,644      456
  Maximum value                                           |   2,253   13,725     9,132   12,368     6,070   13,725
  Number of nonmissing values                             |       5      101       180       34        17      337
Slave price markup between America and Africa             |                                                       
  Mean                                                    |    4.31     3.86      3.57     3.18         .     3.61
  Median                                                  |    3.96     3.59      3.43     3.08               3.41
  Standard deviation                                      |    2.52     1.27      0.98     0.57         .     1.08
  Minimum value                                           |    1.89     1.89      1.89     2.30         .     1.89
  Maximum value                                           |    6.91     7.36      9.10     4.60         .     9.10
  Number of nonmissing values                             |       5      101       215       49         0      370
------------------------------------------------------------------------------------------------------------------
