------------------------------------------------------------------------------------------------------------------
                                                          |                       Nationality                     
                                                          |  Danish    Dutch   English   French   Spanish    Total
----------------------------------------------------------+-------------------------------------------------------
Imputed total slaves embarked                             |                                                       
  Mean                                                    |     420      273       270      401       496      294
  Median                                                  |     429      260       266      392       505      274
  Standard deviation                                      |      69       76       121      150       136      127
  Minimum value                                           |     304       46        60      172       235       46
  Maximum value                                           |     475      479       980      691       739      980
  Number of nonmissing values                             |       5       86       178       18        17      304
Enslaved person mortality rate                            |                                                       
  Mean                                                    |    0.16     0.08      0.14     0.15      0.13     0.12
  Median                                                  |    0.14     0.05      0.13     0.15      0.12     0.11
  Standard deviation                                      |    0.13     0.09      0.07     0.13      0.03     0.08
  Minimum value                                           |    0.00     0.00     -0.12     0.00      0.06    -0.12
  Maximum value                                           |    0.34     0.57      0.44     0.50      0.18     0.57
  Number of nonmissing values                             |       5       86       178       17        17      303
Total net expenditure in g. of silver per enslaved person |                                                       
  Mean                                                    |   1,836    3,051     2,520    2,601     3,602    2,725
  Median                                                  |   2,035    2,733     2,274    2,593     3,610    2,483
  Standard deviation                                      |     439    1,573     1,194      612     1,037    1,311
  Minimum value                                           |   1,179    1,381       456    1,530     1,644      456
  Maximum value                                           |   2,253   13,725     9,132    3,934     6,070   13,725
  Number of nonmissing values                             |       5       86       178       18        17      304
Slave price markup between America and Africa             |                                                       
  Mean                                                    |    4.31     3.89      3.56     3.02         .     3.62
  Median                                                  |    3.96     3.43      3.43     2.84               3.41
  Standard deviation                                      |    2.52     1.33      0.98     0.56         .     1.11
  Minimum value                                           |    1.89     1.89      1.89     2.30         .     1.89
  Maximum value                                           |    6.91     7.36      9.10     4.60         .     9.10
  Number of nonmissing values                             |       5       86       213       25         0      329
------------------------------------------------------------------------------------------------------------------
