---------------------------------------------------------------------------------------------
                                                          |             Nationality          
                                                          |  Dutch   English   French   Total
----------------------------------------------------------+----------------------------------
Imputed total slaves embarked                             |                                  
  Mean                                                    |    314       302      407     340
  Median                                                  |    303       276      411     308
  Standard deviation                                      |     47        90      152     126
  Minimum value                                           |    273        79       14      14
  Maximum value                                           |    365       606      736     736
  Number of nonmissing values                             |      3        77       45     125
Enslaved person mortality rate                            |                                  
  Mean                                                    |   0.13      0.17     0.11    0.15
  Median                                                  |   0.14      0.15     0.09    0.14
  Standard deviation                                      |   0.04      0.08     0.08    0.08
  Minimum value                                           |   0.08      0.00     0.00    0.00
  Maximum value                                           |   0.17      0.50     0.35    0.50
  Number of nonmissing values                             |      3        77       45     125
Total net expenditure in g. of silver per enslaved person |                                  
  Mean                                                    |  2,128     2,762    2,395   2,678
  Median                                                  |  2,070     2,566    2,139   2,511
  Standard deviation                                      |    201     1,041      791     996
  Minimum value                                           |  1,962       446    1,300     446
  Maximum value                                           |  2,351     6,161    4,369   6,161
  Number of nonmissing values                             |      3        77       17      97
Slave price markup between America and Africa             |                                  
  Mean                                                    |   3.53      4.75     3.55    4.29
  Median                                                  |   3.80      4.56     3.62    3.72
  Standard deviation                                      |   0.62      1.78     1.01    1.63
  Minimum value                                           |   2.81      2.54     2.30    2.30
  Maximum value                                           |   3.96      8.88     7.36    8.88
  Number of nonmissing values                             |      3        77       44     124
---------------------------------------------------------------------------------------------
