		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.28	0.25	0.25	0.20	0.22	0.27	0.054	0.058	0.064				0.39	0.21	0.30*				0.30*	0.23	0.31	0.21	0.17																						0.19
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.33)	(0.18)	(0.17)				(0.18)	(0.17)	(0.19)	(0.18)	(0.17)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.055	-0.047	-0.048	-0.047	-0.075	-0.058	-0.046	-0.044	-0.037	-0.059	-0.097	-0.33***	0.053	-0.058	-0.12**	0.016	0.016	-0.057	-0.031	-0.0079	-0.054	-0.066	-0.074	-0.076	-0.065	-0.033	-0.061	-0.061	0.053	-0.017	0.0050	-0.026	-0.030	0.046	0.046	-0.11	-0.038	0.046	0.046	0.088	-0.026	-0.030	-0.017	0.046	-0.0093
		(0.050)	(0.050)	(0.050)	(0.050)	(0.057)	(0.048)	(0.051)	(0.051)	(0.052)	(0.051)	(0.069)	(0.11)	(0.28)	(0.050)	(0.052)	(0.057)	(0.057)	(0.058)	(0.051)	(0.050)	(0.069)	(0.057)	(0.054)	(0.082)	(0.055)	(0.083)	(0.056)	(0.056)	(0.055)	(0.056)	(0.075)	(0.076)	(0.087)	(0.072)	(0.072)	(0.080)	(0.083)	(0.10)	(0.072)	(0.073)	(0.076)	(0.087)	(0.062)	(0.086)	(0.059)
4.nationality_num	Nationality = 4, French	-0.21***	-0.22***	-0.23***	-0.21**	-0.21**	-0.24***	-0.20**	-0.20**	-0.18**	-0.24***	-0.26***	-0.26***	-0.19**	-0.30***	-0.19**	-0.26***	-0.26***	-0.21**	-0.18**	-0.24**	-0.25**	-0.22***	-0.23***	-0.27***	-0.27***	-0.26***	-0.26***	-0.26***	-0.22**	-0.19**	-0.18*	-0.17*	-0.18*	-0.099	-0.099	-0.12	-0.089	-0.099	-0.099	-0.085	-0.17*	-0.18*	-0.18**	-0.099	-0.14*
		(0.081)	(0.081)	(0.081)	(0.081)	(0.083)	(0.079)	(0.086)	(0.086)	(0.087)	(0.086)	(0.086)	(0.085)	(0.086)	(0.097)	(0.095)	(0.090)	(0.090)	(0.090)	(0.082)	(0.092)	(0.10)	(0.083)	(0.080)	(0.085)	(0.084)	(0.089)	(0.089)	(0.089)	(0.092)	(0.091)	(0.093)	(0.097)	(0.096)	(0.095)	(0.095)	(0.087)	(0.096)	(0.14)	(0.095)	(0.098)	(0.097)	(0.096)	(0.082)	(0.13)	(0.084)
5.nationality_num	Nationality = 5, Spanish	0.75***	0.60***	0.67***	0.65***	0.75***		0.77***	0.77***	0.79***	0.70***	0.71***	0.76***	0.75***	0.67***	0.74***				0.84***	0.84***	0.77***	0.63***																							0.64***
