		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.24	0.24	0.18	0.21	0.26	0.044	0.058	0.064				0.48*	0.22	0.30*				0.30*	0.23	0.30	0.20	0.16																						0.18
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.25)	(0.18)	(0.17)				(0.18)	(0.17)	(0.19)	(0.18)	(0.18)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.054	-0.044	-0.044	-0.043	-0.074	-0.057	-0.044	-0.042	-0.035	-0.058	-0.065	-0.14	0.14	-0.055	-0.12**	0.0027	0.0027	-0.071	-0.026	-0.011	-0.048	-0.063	-0.066	-0.019	-0.060	0.019	-0.055	-0.055	0.053	-0.020	-0.023	-0.052	-0.069	0.024	0.024	-0.15**	-0.062	0.024	0.024	0.072	-0.052	-0.069	-0.035	0.024	0.0054
		(0.048)	(0.048)	(0.048)	(0.048)	(0.053)	(0.046)	(0.049)	(0.049)	(0.050)	(0.049)	(0.064)	(0.096)	(0.18)	(0.048)	(0.050)	(0.055)	(0.055)	(0.055)	(0.048)	(0.047)	(0.066)	(0.054)	(0.051)	(0.075)	(0.052)	(0.076)	(0.053)	(0.053)	(0.051)	(0.052)	(0.070)	(0.072)	(0.081)	(0.068)	(0.068)	(0.074)	(0.079)	(0.098)	(0.068)	(0.069)	(0.072)	(0.081)	(0.059)	(0.083)	(0.055)
4.nationality_num	Nationality = 4, French	-0.027	-0.055	-0.056	-0.054	-0.048	-0.031	0.0053	-0.0017	0.012	-0.024	-0.030	-0.022	-0.0023	-0.081	0.0020	-0.14*	-0.14*	-0.088	0.024	-0.0064	-0.048	-0.066	-0.072	-0.081	-0.071	-0.064	-0.043	-0.043	-0.0045	0.025	-0.067	-0.052	-0.061	0.023	0.023	-0.027	0.0036	0.023	0.023	0.050	-0.052	-0.061	-0.045	0.023	0.018
		(0.062)	(0.063)	(0.063)	(0.063)	(0.066)	(0.060)	(0.065)	(0.065)	(0.067)	(0.064)	(0.064)	(0.064)	(0.063)	(0.074)	(0.071)	(0.081)	(0.081)	(0.080)	(0.065)	(0.071)	(0.083)	(0.066)	(0.064)	(0.066)	(0.067)	(0.070)	(0.069)	(0.069)	(0.072)	(0.070)	(0.082)	(0.086)	(0.085)	(0.085)	(0.085)	(0.077)	(0.086)	(0.13)	(0.085)	(0.087)	(0.086)	(0.085)	(0.074)	(0.12)	(0.068)
5.nationality_num	Nationality = 5, Spanish	0.75***	0.57***	0.64***	0.68***	0.74***		0.78***	0.77***	0.79***	0.70***	0.71***	0.72***	0.75***	0.67***	0.74***				0.86***	0.83***	0.72***	0.61***																							0.67***
