		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.21	0.17	0.18	0.088	0.14	0.21	-0.028	-0.0071	-0.0021				0.42	0.13	0.23				0.24	0.17	0.22	0.13	0.092																						0.11
		(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.41)	(0.41)	(0.41)				(0.26)	(0.18)	(0.18)				(0.19)	(0.18)	(0.20)	(0.19)	(0.18)																						(0.19)
2.nationality_num	Nationality = 2, Dutch	-0.11**	-0.10**	-0.099**	-0.098**	-0.13**	-0.12**	-0.11**	-0.11**	-0.10*	-0.12**	-0.15**	-0.24**	0.084	-0.13**	-0.19***	-0.059	-0.059	-0.14**	-0.088*	-0.063	-0.11*	-0.11**	-0.11**	-0.079	-0.10*	-0.046	-0.10*	-0.10*	0.019	-0.058	-0.060	-0.082	-0.11	0.0070	0.0070	-0.17**	-0.11	0.0070	0.0070	0.048	-0.082	-0.11	-0.053	0.0070	-0.032
		(0.050)	(0.050)	(0.050)	(0.049)	(0.055)	(0.048)	(0.051)	(0.051)	(0.052)	(0.051)	(0.067)	(0.100)	(0.19)	(0.050)	(0.052)	(0.058)	(0.058)	(0.059)	(0.051)	(0.050)	(0.069)	(0.056)	(0.053)	(0.078)	(0.055)	(0.079)	(0.055)	(0.055)	(0.055)	(0.055)	(0.074)	(0.075)	(0.085)	(0.071)	(0.071)	(0.077)	(0.081)	(0.098)	(0.071)	(0.073)	(0.075)	(0.085)	(0.064)	(0.086)	(0.058)
4.nationality_num	Nationality = 4, French	-0.087	-0.13*	-0.13*	-0.12*	-0.10	-0.092	-0.056	-0.065	-0.054	-0.085	-0.091	-0.081	-0.063	-0.16**	-0.065	-0.20**	-0.20**	-0.15*	-0.043	-0.059	-0.12	-0.13*	-0.13*	-0.14**	-0.13*	-0.12*	-0.10	-0.10	-0.050	-0.022	-0.11	-0.082	-0.091	0.0044	0.0044	-0.044	-0.021	0.0044	0.0044	0.025	-0.082	-0.091	-0.064	0.0044	-0.030
		(0.065)	(0.066)	(0.066)	(0.065)	(0.068)	(0.063)	(0.068)	(0.068)	(0.070)	(0.067)	(0.067)	(0.067)	(0.066)	(0.078)	(0.075)	(0.086)	(0.086)	(0.085)	(0.069)	(0.074)	(0.087)	(0.069)	(0.066)	(0.069)	(0.069)	(0.073)	(0.072)	(0.072)	(0.076)	(0.074)	(0.087)	(0.090)	(0.089)	(0.089)	(0.089)	(0.081)	(0.091)	(0.13)	(0.089)	(0.092)	(0.090)	(0.089)	(0.080)	(0.13)	(0.071)
5.nationality_num	Nationality = 5, Spanish	0.69***	0.45***	0.33	0.46**	0.68***		0.71***	0.71***	0.72***	0.64***	0.65***	0.67***	0.69***	0.57***	0.67***				0.78***	0.78***	0.63***	0.50***																							0.49***
		(0.10)	(0.13)	(0.21)	(0.18)	(0.10)		(0.11)	(0.11)	(0.11)	(0.12)	(0.12)	(0.12)	(0.10)	(0.11)	(0.10)				(0.11)	(0.10)	(0.13)	(0.13)																							(0.18)
1.period	Period = 1, pre-1750				0.0087																												-0.040	-0.038	-0.058	-0.058	-0.15*	-0.036	-0.058	-0.058	-0.036	-0.040	-0.038	-0.030	-0.058	-0.039
					(0.089)																												(0.087)	(0.087)	(0.086)	(0.086)	(0.079)	(0.086)	(0.094)	(0.086)	(0.089)	(0.087)	(0.087)	(0.077)	(0.087)	(0.091)
3.period	Period = 3, 1776-1800				0.18***																												0.21***	0.20***	0.25***	0.25***	0.21***	0.22***	0.25*	0.25***	0.23***	0.21***	0.20***	0.15**	0.25**	0.21***
					(0.050)																												(0.073)	(0.075)	(0.072)	(0.072)	(0.067)	(0.074)	(0.13)	(0.072)	(0.074)	(0.073)	(0.075)	(0.065)	(0.12)	(0.066)
4.period	Period = 4, post-1800				0.28*																												0.52***	0.50***	0.65***	0.65***	0.40**	0.54***	0.65**	0.65***	0.49***	0.52***	0.50***	0.54***	0.65***	0.45***
					(0.16)																												(0.18)	(0.18)	(0.17)	(0.17)	(0.16)	(0.17)	(0.25)	(0.17)	(0.17)	(0.18)	(0.18)	(0.15)	(0.20)	(0.17)
YEARAF	Year departed Africa (imputed)		0.0045***	-0.17																			0.0035**	0.0056***	0.0057**	0.0053**	0.0057**	0.0051**	0.0051**	0.012***	0.011***	0.010***														
			(0.0016)	(0.23)																			(0.0017)	(0.0020)	(0.0023)	(0.0021)	(0.0023)	(0.0021)	(0.0021)	(0.0022)	(0.0021)	(0.0023)														
yearsq	yearsq			0.000048																																										
				(0.000064)																																										
war	War involving own nationality					0.11*																	0.084	0.075	0.085	0.086	0.097	0.083	0.083	0.11*	0.091	0.086	0.050	0.050	0.067	0.067	0.039	0.081	0.067	0.067	0.081	0.050	0.050	0.041	0.067	0.046
						(0.056)																	(0.057)	(0.058)	(0.060)	(0.060)	(0.062)	(0.062)	(0.062)	(0.059)	(0.057)	(0.059)	(0.063)	(0.062)	(0.062)	(0.062)	(0.056)	(0.063)	(0.063)	(0.062)	(0.064)	(0.063)	(0.062)	(0.055)	(0.060)	(0.060)
neutral	Neutrality of own nation					0.12**																	0.088	0.073	0.062	0.062	0.068	0.068	0.068	-0.0034	0.0076	-0.017	-0.028	-0.025	-0.033	-0.033	0.00068	0.030	-0.033	-0.033	-0.019	-0.028	-0.025	0.023	-0.033	0.034
						(0.053)																	(0.055)	(0.057)	(0.059)	(0.059)	(0.060)	(0.060)	(0.060)	(0.056)	(0.054)	(0.058)	(0.068)	(0.068)	(0.067)	(0.067)	(0.061)	(0.068)	(0.080)	(0.067)	(0.069)	(0.068)	(0.068)	(0.060)	(0.076)	(0.066)
pricemarkup	Slave price markup between America and Africa						0.012																	0.043*	0.033	0.037	0.024	0.032	0.032	0.054**	0.047*	0.044*	0.00082	0.0023	-0.0081	-0.0081	-0.0020		-0.0081	-0.0081	-0.0081	0.00082	0.0023	-0.020	-0.0081	
							(0.020)																	(0.024)	(0.026)	(0.026)	(0.027)	(0.027)	(0.027)	(0.025)	(0.024)	(0.026)	(0.023)	(0.024)	(0.023)	(0.023)	(0.021)		(0.024)	(0.023)	(0.024)	(0.023)	(0.024)	(0.021)	(0.022)	
captain_experience_d	Not the first voyage of the captain							0.066																				0.097**	0.097**	0.075	0.067	0.072	0.075	0.072	0.089*	0.089*	0.088**	0.11**	0.089**	0.089*	0.10**	0.075	0.072	0.080*	0.089**	
								(0.049)																				(0.049)	(0.049)	(0.047)	(0.045)	(0.048)	(0.049)	(0.049)	(0.048)	(0.048)	(0.044)	(0.051)	(0.044)	(0.048)	(0.050)	(0.049)	(0.049)	(0.043)	(0.041)	
captain_experience	(min) captain_experience								0.0070																		0.0080																			
									(0.0095)																		(0.0092)																			
captain_total_career	(min) captain_total_career									0.0060																																				
										(0.0063)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.070															0.040		0.024	0.024	0.055	0.0084	0.030	0.026	0.030	0.0068	0.0068	0.018	0.023	0.0068	0.0068	-0.014	0.026	0.030	-0.015	0.0068	
											(0.068)															(0.067)		(0.068)	(0.068)	(0.064)	(0.062)	(0.068)	(0.069)	(0.069)	(0.068)	(0.068)	(0.062)	(0.068)	(0.067)	(0.068)	(0.070)	(0.069)	(0.069)	(0.061)	(0.063)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00098													-0.00046		-0.0010																			
												(0.0011)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.0015																																	
													(0.0010)																																	
1.perspective	Perspective of source = 1, Captain													-0.48																																
														(0.35)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.19)																																
4.perspective	Perspective of source = 4, Owner													0.35																																
														(0.46)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.16***															-0.017	-0.0050	0.015	0.013				1.10***					0.013				
															(0.053)															(0.054)	(0.052)	(0.064)	(0.066)				(0.17)					(0.066)				
MORTALITY	Enslaved person mortality rate															-1.23***			-1.27***												-1.18***	-1.21***	-1.25***	-1.26***	-1.20***	-1.20***	-1.42***		-1.20***	-1.20***	-1.08***	-1.25***	-1.26***	-1.19***	-1.20***	
																(0.28)			(0.28)												(0.26)	(0.27)	(0.28)	(0.28)	(0.27)	(0.27)	(0.25)		(0.23)	(0.27)	(0.28)	(0.28)	(0.28)	(0.24)	(0.22)	
crowd	Number of embarked enslaved persons per ton																0.085*	0.085*	0.080*													-0.0090	-0.036	-0.023	0.013	0.013	-0.18**		0.013	0.013	0.12***	-0.036	-0.023	-0.0072	0.013	
																	(0.045)	(0.045)	(0.044)													(0.055)	(0.055)	(0.050)	(0.050)	(0.050)	(0.079)		(0.090)	(0.050)	(0.046)	(0.055)	(0.050)	(0.045)	(0.064)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.079*															-0.16***	-0.16***	-1.05***	-0.12	-0.16	-0.16***	-0.26***			-0.078	-0.16	-0.17***
																				(0.043)															(0.055)	(0.055)	(0.13)	(0.14)	(0.14)	(0.055)	(0.053)			(0.051)	(0.11)	(0.046)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.081***									-0.12***	-0.13***	-0.13***	-0.13***	-0.13***	-0.10***	-0.10***	0.15***		-0.10	-0.10***		-0.13***	-0.13***	-0.096***	-0.10*	
																					(0.017)									(0.019)	(0.018)	(0.021)	(0.022)	(0.021)	(0.022)	(0.022)	(0.040)		(0.090)	(0.022)		(0.022)	(0.021)	(0.020)	(0.053)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.15																								
																						(0.14)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.14																								
																						(0.15)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.067																								
																						(0.12)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.055																								
																						(0.13)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.092																								
																						(0.13)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.059																								
																						(0.10)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.028																								
																						(0.11)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.29																								
																						(0.42)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.00021			0.00030	-0.000053					0.00021			
																																		(0.00035)			(0.00055)	(0.00074)					(0.00035)			
totalnetexpperton	totalnetexpperton																																					-0.000074*								
																																						(0.000042)								
Constant	Constant	0.16***	-7.86***	144	0.11***	0.11***	0.11	0.11**	0.14***	0.11**	0.093	0.14***	0.12***	-0.052	-0.73**	0.33***	0.022	0.022	0.21**	1.19**	0.35***	0.21**	-5.99**	-9.92***	-10.1**	-9.49**	-10.0**	-9.03**	-9.03**	-21.3***	-19.1***	-18.1***	0.45	0.47**	2.50***	2.50***	7.89***	1.74	2.50	2.50***	3.38***	0.45	0.47**	1.53**	2.50*	2.34***
		(0.028)	(2.83)	(200)	(0.031)	(0.035)	(0.075)	(0.048)	(0.040)	(0.052)	(0.065)	(0.031)	(0.039)	(0.19)	(0.29)	(0.050)	(0.077)	(0.077)	(0.084)	(0.56)	(0.049)	(0.099)	(2.98)	(3.64)	(4.05)	(3.74)	(4.10)	(3.79)	(3.79)	(3.84)	(3.73)	(4.11)	(0.38)	(0.19)	(0.71)	(0.71)	(0.97)	(1.62)	(1.62)	(0.71)	(0.71)	(0.38)	(0.19)	(0.65)	(1.38)	(0.60)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
