		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.31	0.24	0.25	0.14	0.23	0.29	0.075	0.091	0.12				0.52*	0.27	0.32				0.37*	0.22	0.44*	0.20	0.17																						0.16
		(0.22)	(0.22)	(0.22)	(0.22)	(0.21)	(0.22)	(0.50)	(0.50)	(0.49)				(0.30)	(0.23)	(0.22)				(0.21)	(0.21)	(0.24)	(0.21)	(0.20)																						(0.20)
2.nationality_num	Nationality = 2, Dutch	-0.014	-0.025	-0.015	-0.030	-0.016	-0.013	-0.0048	0.000060	0.032	-0.029	-0.024	-0.15	0.19	-0.0073	-0.084	0.17***	0.17***	0.090	0.041	0.047	0.015	-0.0082	-0.010	0.064	-0.022	0.087	-0.017	-0.017	0.089	0.014	0.12*	0.14*	0.12	0.18**	0.18**	-0.089	-0.019	0.18	0.18**	0.22***	0.14*	0.12	0.0044	0.18	0.062
		(0.056)	(0.056)	(0.057)	(0.056)	(0.058)	(0.055)	(0.058)	(0.058)	(0.058)	(0.056)	(0.073)	(0.11)	(0.20)	(0.058)	(0.061)	(0.065)	(0.065)	(0.066)	(0.055)	(0.055)	(0.078)	(0.057)	(0.056)	(0.082)	(0.059)	(0.084)	(0.060)	(0.060)	(0.055)	(0.057)	(0.071)	(0.075)	(0.085)	(0.069)	(0.069)	(0.075)	(0.083)	(0.16)	(0.069)	(0.070)	(0.075)	(0.085)	(0.056)	(0.13)	(0.057)
4.nationality_num	Nationality = 4, French	0.066	0.015	0.017	0.0015	0.062	0.083	0.098	0.094	0.16**	0.043	0.044	0.056	0.065	0.051	0.093	0.011	0.011	0.018	0.18***	0.10	0.056	0.019	0.021	-0.0074	-0.0064	-0.0043	0.020	0.020	0.082	0.084	0.071	0.12	0.065	0.19**	0.19**	0.080	0.18**	0.19	0.19**	0.22***	0.12	0.065	0.079	0.19*	0.14**
		(0.068)	(0.069)	(0.069)	(0.068)	(0.067)	(0.068)	(0.071)	(0.072)	(0.073)	(0.068)	(0.068)	(0.068)	(0.070)	(0.080)	(0.077)	(0.088)	(0.088)	(0.088)	(0.067)	(0.074)	(0.087)	(0.067)	(0.066)	(0.070)	(0.070)	(0.074)	(0.074)	(0.074)	(0.073)	(0.071)	(0.083)	(0.087)	(0.088)	(0.082)	(0.082)	(0.074)	(0.086)	(0.12)	(0.082)	(0.083)	(0.087)	(0.088)	(0.065)	(0.11)	(0.065)
5.nationality_num	Nationality = 5, Spanish	0.78***	0.53***	0.35	0.68***	0.78***		0.81***	0.81***	0.87***	0.72***	0.71***	0.74***	0.78***	0.73***	0.76***				1.06***	0.92***	0.72***	0.48***																							0.68***
