		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	-0.0036	-0.031	-0.035	-0.090	-0.061	-0.011	-0.17	-0.15	-0.14				0.20	-0.069	0.018				0.038	-0.0067	0.027	-0.069	-0.099																						-0.056
		(0.16)	(0.16)	(0.16)	(0.17)	(0.17)	(0.16)	(0.36)	(0.36)	(0.36)				(0.23)	(0.16)	(0.16)				(0.16)	(0.15)	(0.18)	(0.17)	(0.16)																						(0.17)
2.nationality_num	Nationality = 2, Dutch	-0.016	-0.0072	-0.0082	-0.0045	-0.032	-0.019	-0.0074	-0.0039	0.0070	-0.022	-0.030	-0.049	0.18	-0.020	-0.075*	0.030	0.030	-0.039	-0.0021	0.0092	-0.0070	-0.022	-0.023	0.018	-0.020	0.062	-0.010	-0.010	0.058	-0.012	-0.036	-0.058	-0.073	0.0021	0.0021	-0.16**	-0.046	0.0021	0.0021	0.071	-0.058	-0.073	-0.024	0.0021	0.021
		(0.044)	(0.044)	(0.044)	(0.044)	(0.049)	(0.043)	(0.045)	(0.045)	(0.046)	(0.045)	(0.059)	(0.089)	(0.16)	(0.044)	(0.045)	(0.051)	(0.051)	(0.051)	(0.044)	(0.042)	(0.060)	(0.049)	(0.047)	(0.069)	(0.049)	(0.070)	(0.049)	(0.049)	(0.046)	(0.046)	(0.063)	(0.064)	(0.073)	(0.061)	(0.061)	(0.069)	(0.073)	(0.083)	(0.061)	(0.062)	(0.064)	(0.073)	(0.058)	(0.067)	(0.050)
4.nationality_num	Nationality = 4, French	0.010	-0.015	-0.016	-0.015	-0.0060	0.0046	0.044	0.037	0.059	0.0069	0.0028	0.0054	0.035	-0.050	0.037	-0.099	-0.099	-0.052	0.042	0.014	-0.0059	-0.022	-0.027	-0.041	-0.034	-0.017	-0.0012	-0.0012	-0.0012	0.029	-0.070	-0.057	-0.061	-0.0015	-0.0015	-0.055	-0.013	-0.0015	-0.0015	0.042	-0.057	-0.061	-0.033	-0.0015	0.032
		(0.057)	(0.058)	(0.058)	(0.057)	(0.060)	(0.056)	(0.060)	(0.060)	(0.062)	(0.059)	(0.059)	(0.060)	(0.058)	(0.067)	(0.065)	(0.075)	(0.075)	(0.073)	(0.059)	(0.064)	(0.075)	(0.061)	(0.059)	(0.062)	(0.062)	(0.064)	(0.064)	(0.064)	(0.066)	(0.063)	(0.074)	(0.077)	(0.077)	(0.076)	(0.076)	(0.071)	(0.078)	(0.12)	(0.076)	(0.079)	(0.077)	(0.077)	(0.072)	(0.11)	(0.062)
5.nationality_num	Nationality = 5, Spanish	0.61***	0.46***	0.55***	0.51***	0.61***		0.65***	0.65***	0.67***	0.57***	0.58***	0.58***	0.61***	0.53***	0.60***				0.70***	0.72***	0.57***	0.50***																							0.52***
