		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.25	0.25	0.22	0.26	0.27	0.042	0.058	0.066				0.39	0.21	0.30*				0.31*	0.23	0.31	0.25	0.22																						0.24
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.25)	(0.18)	(0.17)				(0.17)	(0.17)	(0.19)	(0.18)	(0.17)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.064	-0.057	-0.058	-0.054	-0.063	-0.067	-0.054	-0.051	-0.043	-0.066	-0.098	-0.22**	0.049	-0.066	-0.13**	-0.0049	-0.0049	-0.079	-0.034	-0.019	-0.050	-0.054	-0.059	-0.063	-0.051	-0.022	-0.046	-0.046	0.048	-0.026	-0.029	-0.058	-0.074	0.018	0.018	-0.15**	-0.069	0.018	0.018	0.065	-0.058	-0.074	-0.042	0.018	0.0077
		(0.047)	(0.047)	(0.047)	(0.047)	(0.053)	(0.045)	(0.048)	(0.048)	(0.049)	(0.048)	(0.063)	(0.094)	(0.18)	(0.048)	(0.049)	(0.055)	(0.055)	(0.055)	(0.048)	(0.047)	(0.066)	(0.053)	(0.051)	(0.073)	(0.052)	(0.075)	(0.052)	(0.052)	(0.051)	(0.052)	(0.070)	(0.071)	(0.080)	(0.067)	(0.067)	(0.073)	(0.078)	(0.097)	(0.067)	(0.068)	(0.071)	(0.080)	(0.059)	(0.082)	(0.055)
4.nationality_num	Nationality = 4, French	-0.19***	-0.21***	-0.21***	-0.21***	-0.19***	-0.20***	-0.16**	-0.17***	-0.15**	-0.20***	-0.20***	-0.19***	-0.18***	-0.23***	-0.15**	-0.16*	-0.16*	-0.11	-0.13**	-0.15**	-0.18**	-0.20***	-0.21***	-0.23***	-0.22***	-0.21***	-0.20***	-0.20***	-0.15**	-0.13*	-0.090	-0.075	-0.084	-0.000031	-0.000031	-0.049	-0.018	-0.000031	-0.000031	0.025	-0.075	-0.084	-0.069	-0.000031	-0.12*
		(0.061)	(0.062)	(0.062)	(0.062)	(0.065)	(0.059)	(0.064)	(0.064)	(0.066)	(0.063)	(0.063)	(0.063)	(0.063)	(0.074)	(0.071)	(0.081)	(0.081)	(0.080)	(0.064)	(0.070)	(0.082)	(0.066)	(0.063)	(0.065)	(0.066)	(0.069)	(0.068)	(0.068)	(0.072)	(0.070)	(0.082)	(0.086)	(0.085)	(0.084)	(0.084)	(0.077)	(0.086)	(0.13)	(0.084)	(0.086)	(0.086)	(0.085)	(0.074)	(0.12)	(0.067)
5.nationality_num	Nationality = 5, Spanish	0.74***	0.63***	0.74***	0.65***	0.74***		0.78***	0.77***	0.79***	0.70***	0.71***	0.74***	0.74***	0.67***	0.73***				0.86***	0.84***	0.76***	0.64***																							0.65***
