		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.23	0.23	0.13	0.16	0.26	0.041	0.054	0.059				0.57**	0.22	0.30				0.30	0.23	0.29	0.15	0.10																						0.11
		(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.42)	(0.42)	(0.42)				(0.27)	(0.19)	(0.18)				(0.19)	(0.18)	(0.20)	(0.19)	(0.19)																						(0.19)
2.nationality_num	Nationality = 2, Dutch	-0.047	-0.034	-0.034	-0.034	-0.087	-0.052	-0.038	-0.037	-0.032	-0.054	-0.039	-0.065	0.23	-0.049	-0.11**	0.0060	0.0060	-0.068	-0.023	-0.0037	-0.050	-0.073	-0.076	0.019	-0.070	0.054	-0.065	-0.065	0.059	-0.012	-0.013	-0.044	-0.060	0.034	0.034	-0.14*	-0.054	0.034	0.034	0.082	-0.044	-0.060	-0.026	0.034	0.0019
		(0.051)	(0.050)	(0.051)	(0.050)	(0.056)	(0.049)	(0.052)	(0.053)	(0.053)	(0.052)	(0.068)	(0.10)	(0.19)	(0.051)	(0.052)	(0.056)	(0.056)	(0.056)	(0.052)	(0.050)	(0.069)	(0.057)	(0.054)	(0.079)	(0.056)	(0.081)	(0.057)	(0.057)	(0.054)	(0.055)	(0.071)	(0.073)	(0.082)	(0.069)	(0.069)	(0.075)	(0.080)	(0.098)	(0.069)	(0.070)	(0.073)	(0.082)	(0.061)	(0.084)	(0.058)
4.nationality_num	Nationality = 4, French	0.13**	0.094	0.094	0.094	0.092	0.13**	0.17**	0.16**	0.17**	0.15**	0.14**	0.14**	0.17**	0.066	0.15**	-0.12	-0.12	-0.070	0.18**	0.14*	0.079	0.069	0.068	0.063	0.080	0.081	0.11	0.11	0.14*	0.18**	-0.042	-0.028	-0.036	0.049	0.049	-0.0015	0.027	0.049	0.049	0.075	-0.028	-0.036	-0.020	0.049	0.16**
		(0.066)	(0.067)	(0.067)	(0.066)	(0.069)	(0.065)	(0.070)	(0.070)	(0.072)	(0.068)	(0.068)	(0.069)	(0.067)	(0.078)	(0.075)	(0.083)	(0.083)	(0.081)	(0.069)	(0.074)	(0.086)	(0.070)	(0.068)	(0.071)	(0.071)	(0.075)	(0.074)	(0.074)	(0.076)	(0.074)	(0.084)	(0.088)	(0.087)	(0.086)	(0.086)	(0.078)	(0.087)	(0.14)	(0.086)	(0.088)	(0.088)	(0.087)	(0.076)	(0.13)	(0.071)
5.nationality_num	Nationality = 5, Spanish	0.74***	0.52***	0.52**	0.69***	0.74***		0.77***	0.77***	0.78***	0.70***	0.70***	0.71***	0.74***	0.67***	0.73***				0.84***	0.83***	0.67***	0.57***																							0.67***
		(0.11)	(0.13)	(0.21)	(0.19)	(0.10)		(0.11)	(0.11)	(0.11)	(0.13)	(0.13)	(0.13)	(0.10)	(0.11)	(0.10)				(0.11)	(0.10)	(0.13)	(0.14)																							(0.19)
1.period	Period = 1, pre-1750				-0.024																												-0.075	-0.074	-0.088	-0.088	-0.16**	-0.068	-0.088	-0.088	-0.070	-0.075	-0.074	-0.062	-0.088	-0.081
					(0.091)																												(0.085)	(0.085)	(0.083)	(0.083)	(0.076)	(0.083)	(0.085)	(0.083)	(0.086)	(0.085)	(0.085)	(0.073)	(0.080)	(0.092)
3.period	Period = 3, 1776-1800				0.18***																												0.16**	0.16**	0.21***	0.21***	0.18***	0.17**	0.21	0.21***	0.18**	0.16**	0.16**	0.089	0.21	0.21***
					(0.051)																												(0.071)	(0.073)	(0.070)	(0.070)	(0.065)	(0.073)	(0.14)	(0.070)	(0.072)	(0.071)	(0.073)	(0.063)	(0.13)	(0.068)
4.period	Period = 4, post-1800				0.099																												0.40**	0.39**	0.52***	0.52***	0.25	0.39**	0.52**	0.52***	0.34**	0.40**	0.39**	0.38**	0.52**	0.32*
					(0.16)																												(0.18)	(0.17)	(0.17)	(0.17)	(0.16)	(0.16)	(0.26)	(0.17)	(0.17)	(0.18)	(0.17)	(0.15)	(0.20)	(0.17)
YEARAF	Year departed Africa (imputed)		0.0044***	0.0028																			0.0033*	0.0057***	0.0069***	0.0055**	0.0068***	0.0051**	0.0051**	0.013***	0.011***	0.0097***														
			(0.0016)	(0.23)																			(0.0017)	(0.0021)	(0.0023)	(0.0021)	(0.0023)	(0.0022)	(0.0022)	(0.0022)	(0.0022)	(0.0023)														
yearsq	yearsq			4.4e-07																																										
				(0.000065)																																										
war	War involving own nationality					0.055																	0.032	0.016	0.022	0.023	0.033	0.022	0.022	0.075	0.057	0.056	0.032	0.031	0.049	0.049	0.023	0.060	0.049	0.049	0.058	0.032	0.031	0.020	0.049	0.0066
						(0.056)																	(0.058)	(0.059)	(0.061)	(0.061)	(0.063)	(0.064)	(0.064)	(0.059)	(0.057)	(0.057)	(0.061)	(0.061)	(0.060)	(0.060)	(0.055)	(0.062)	(0.061)	(0.060)	(0.062)	(0.061)	(0.061)	(0.053)	(0.058)	(0.061)
neutral	Neutrality of own nation					0.15***																	0.12**	0.096	0.078	0.085	0.088	0.093	0.093	0.012	0.020	-0.035	-0.027	-0.025	-0.031	-0.031	-0.0050	0.018	-0.031	-0.031	-0.019	-0.027	-0.025	0.028	-0.031	0.066
						(0.054)																	(0.056)	(0.059)	(0.061)	(0.060)	(0.061)	(0.061)	(0.061)	(0.057)	(0.055)	(0.056)	(0.066)	(0.066)	(0.065)	(0.065)	(0.060)	(0.066)	(0.081)	(0.065)	(0.067)	(0.066)	(0.066)	(0.057)	(0.076)	(0.067)
pricemarkup	Slave price markup between America and Africa						0.015																	0.047*	0.035	0.043	0.025	0.037	0.037	0.058**	0.051**	0.041	0.00080	0.0019	-0.0071	-0.0071	-0.0013		-0.0071	-0.0071	-0.0075	0.00080	0.0019	-0.020	-0.0071	
							(0.020)																	(0.024)	(0.026)	(0.026)	(0.027)	(0.027)	(0.027)	(0.025)	(0.025)	(0.025)	(0.023)	(0.023)	(0.022)	(0.022)	(0.020)		(0.023)	(0.022)	(0.023)	(0.023)	(0.023)	(0.020)	(0.021)	
captain_experience_d	Not the first voyage of the captain							0.044																				0.074	0.074	0.061	0.052	0.069	0.072	0.070	0.086*	0.086*	0.089**	0.10**	0.086*	0.086*	0.097**	0.072	0.070	0.076*	0.086**	
								(0.050)																				(0.050)	(0.050)	(0.047)	(0.046)	(0.046)	(0.047)	(0.048)	(0.047)	(0.047)	(0.043)	(0.049)	(0.044)	(0.047)	(0.048)	(0.047)	(0.048)	(0.041)	(0.041)	
captain_experience	(min) captain_experience								0.0026																		0.0032																			
									(0.0097)																		(0.0094)																			
captain_total_career	(min) captain_total_career									0.0040																																				
										(0.0064)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.093															0.056		0.043	0.043	0.061	0.012	0.037	0.038	0.040	0.019	0.019	0.027	0.030	0.019	0.019	-0.0011	0.038	0.040	-0.0041	0.019	
											(0.069)															(0.069)		(0.070)	(0.070)	(0.065)	(0.063)	(0.066)	(0.067)	(0.067)	(0.066)	(0.066)	(0.060)	(0.066)	(0.061)	(0.066)	(0.068)	(0.067)	(0.067)	(0.058)	(0.057)	
OUTFITTER_experience	(min) OUTFITTER_experience											-0.00011													-0.0018		-0.0024*																			
												(0.0011)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(min) OUTFITTER_total_career												0.00026																																	
													(0.0011)																																	
1.perspective	Perspective of source = 1, Captain													-0.57																																
														(0.36)																																
3.perspective	Perspective of source = 3, Investor													0.30																																
														(0.19)																																
4.perspective	Perspective of source = 4, Owner													0.26																																
														(0.46)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.12**															-0.052	-0.042	-0.012	-0.0031				1.13***					-0.0031				
															(0.054)															(0.054)	(0.052)	(0.061)	(0.064)				(0.17)					(0.064)				
MORTALITY	Enslaved person mortality rate															-1.13***			-1.18***												-1.11***	-1.16***	-1.19***	-1.20***	-1.15***	-1.15***	-1.36***		-1.15***	-1.15***	-1.04***	-1.19***	-1.20***	-1.13***	-1.15***	
																(0.28)			(0.27)												(0.26)	(0.26)	(0.27)	(0.27)	(0.26)	(0.26)	(0.24)		(0.23)	(0.26)	(0.27)	(0.27)	(0.27)	(0.23)	(0.21)	
crowd	Number of embarked enslaved persons per ton																0.074*	0.074*	0.069*													-0.014	-0.042	-0.040	0.0036	0.0036	-0.20***		0.0036	0.0036	0.10**	-0.042	-0.040	-0.017	0.0036	
																	(0.043)	(0.043)	(0.042)													(0.054)	(0.054)	(0.049)	(0.049)	(0.049)	(0.076)		(0.086)	(0.049)	(0.044)	(0.054)	(0.049)	(0.043)	(0.061)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.090**															-0.16***	-0.16***	-1.07***	-0.19	-0.16	-0.16***	-0.25***			-0.074	-0.16	-0.18***
																				(0.042)															(0.054)	(0.054)	(0.13)	(0.14)	(0.14)	(0.054)	(0.050)			(0.048)	(0.11)	(0.046)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.077***									-0.13***	-0.13***	-0.13***	-0.12***	-0.12***	-0.094***	-0.094***	0.16***		-0.094	-0.094***		-0.12***	-0.12***	-0.086***	-0.094*	
																					(0.016)									(0.018)	(0.018)	(0.020)	(0.021)	(0.020)	(0.022)	(0.022)	(0.039)		(0.083)	(0.022)		(0.021)	(0.020)	(0.019)	(0.048)	
60100.MAJBYIMP	Imputed principal region of slave purchase = 60100,  Senegambia and offshore Atlantic																					-0.13																								
																						(0.14)																								
60200.MAJBYIMP	Imputed principal region of slave purchase = 60200,  Sierra Leone																					0.051																								
																						(0.15)																								
60300.MAJBYIMP	Imputed principal region of slave purchase = 60300,  Windward Coast																					-0.098																								
																						(0.12)																								
60400.MAJBYIMP	Imputed principal region of slave purchase = 60400,  Gold Coast																					-0.11																								
																						(0.13)																								
60500.MAJBYIMP	Imputed principal region of slave purchase = 60500,  Bight of Benin																					-0.16																								
																						(0.12)																								
60600.MAJBYIMP	Imputed principal region of slave purchase = 60600,  Bight of Biafra and Gulf of Guinea islands																					-0.11																								
																						(0.10)																								
60700.MAJBYIMP	Imputed principal region of slave purchase = 60700,  West Central Africa and St. Helena																					-0.067																								
																						(0.11)																								
60800.MAJBYIMP	Imputed principal region of slave purchase = 60800,  Southeast Africa and Indian Ocean islands																					0.82*																								
																						(0.42)																								
60900o.MAJBYIMP	Imputed principal region of slave purchase = 60900, omitted																					-																								
																																														
TONMOD	Tonnage standardized on British measured tons, 1773-1835																																	0.000097			0.00018	0.00024					0.000097			
																																		(0.00034)			(0.00053)	(0.00071)					(0.00034)			
totalnetexpperton	totalnetexpperton																																					-0.000045								
																																						(0.000039)								
Constant	Constant	0.099***	-7.61***	-6.22	0.054*	0.064*	0.044	0.058	0.084**	0.064	0.016	0.096***	0.089**	-0.20	-0.54*	0.25***	-0.023	-0.023	0.15*	1.29**	0.29***	0.19*	-5.74*	-10.3***	-12.2***	-9.86**	-12.1***	-9.25**	-9.25**	-22.0***	-19.8***	-16.8***	0.50	0.46**	2.48***	2.48***	8.00***	2.51	2.48	2.48***	3.34***	0.50	0.46**	1.44**	2.48*	2.40***
		(0.029)	(2.88)	(203)	(0.032)	(0.035)	(0.077)	(0.049)	(0.041)	(0.053)	(0.066)	(0.032)	(0.040)	(0.19)	(0.30)	(0.050)	(0.073)	(0.073)	(0.080)	(0.56)	(0.050)	(0.099)	(3.03)	(3.71)	(4.14)	(3.84)	(4.19)	(3.90)	(3.90)	(3.93)	(3.81)	(4.01)	(0.36)	(0.18)	(0.68)	(0.68)	(0.97)	(1.58)	(1.56)	(0.68)	(0.67)	(0.36)	(0.18)	(0.61)	(1.33)	(0.60)
																																														
Observations		388	388	388	388	388	370	349	349	349	360	360	360	388	337	336	295	295	294	388	337	337	388	370	347	347	326	326	326	312	311	292	292	292	292	292	292	297	292	292	292	292	292	291	292	388
