="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="347",=".1062701",="",=".4283627",="-1",="3.289092"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="347",="2.896254",="",=".7531535",="1",="5"
="SLAXIMP",="304",="293.6579",="",="127.3198",="46",="980"
="YEARAF",="347",="1772.017",="",="17.52405",="1730",="1830"
="totalnetexp_silver_ship",="347",="755752.5",="",="474769.1",="61314.8",="3492068"
="investment_per_slave",="304",="2724.515",="",="1311.093",="456.436",="13724.96"
="war",="347",=".2276657",="",=".4199312",="0",="1"
="neutral",="347",=".2420749",="",=".428958",="0",="1"
="pricemarkup",="329",="3.619058",="",="1.111263",="1.888208",="9.09531"
="OUTFITTER_experience_d",="319",=".8808777",="",=".3244412",="0",="1"
="captain_experience_d",="308",=".7142857",="",=".4524891",="0",="1"
="TONMOD",="276",="227.6732",="",="99.55001",="44",="501"
="ln_SLAXIMP",="304",="5.58535",="",=".4601554",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="347",="13.37356",="",=".5723781",="11.02378",="15.066"
="MORTALITY",="303",=".1222739",="",=".0815361",="-.1206897",=".5677966"
="crowd",="273",="1.373339",="",=".6053452",=".1691176",="3.191297"
="N",="347",="",="",="",="",=""
