="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="483",=".1013339",="",=".5129935",="-1",="4.288735"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="483",="2.968944",="",=".72954",="1",="5"
="SLAXIMP",="432",="299.6042",="",="120.3383",="46",="980"
="YEARAF",="483",="1768.679",="",="19.46522",="1722",="1830"
="totalnetexp_silver_ship",="483",="786715.1",="",="453756.6",="61314.8",="3492068"
="investment_per_slave",="432",="2735.006",="",="1309.617",="446.3663",="13724.96"
="war",="466",=".1995708",="",=".4001073",="0",="1"
="neutral",="466",=".2596567",="",=".4389174",="0",="1"
="pricemarkup",="465",="3.794845",="",="1.288755",="1.888208",="9.09531"
="OUTFITTER_experience_d",="422",=".8744076",="",=".3317828",="0",="1"
="captain_experience_d",="444",=".6711712",="",=".4703176",="0",="1"
="TONMOD",="384",="229.8812",="",="97.41489",="44",="501"
="ln_SLAXIMP",="432",="5.617827",="",=".4306584",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="483",="13.42803",="",=".5557017",="11.02378",="15.066"
="MORTALITY",="431",=".1308212",="",=".0823547",="-.1206897",=".5677966"
="crowd",="381",="1.412594",="",=".6433381",=".1691176",="4.884547"
="N",="483",="",="",="",="",=""
