="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="95",=".0417899",="",=".7757038",="-.6190628",="4.288735"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="95",="3.126316",="",=".4187648",="2",="4"
="SLAXIMP",="95",="317.3789",="",="104.8623",="79",="624"
="YEARAF",="95",="1753.684",="",="21.3124",="1722",="1793"
="totalnetexp_silver_ship",="95",="817582.7",="",="337486.8",="115724.7",="2070191"
="investment_per_slave",="95",="2665.749",="",="1003.358",="446.3663",="6160.728"
="war",="78",=".1410256",="",=".3503008",="0",="1"
="neutral",="78",=".1794872",="",=".3862436",="0",="1"
="pricemarkup",="95",="4.51661",="",="1.727594",="2.298712",="8.882692"
="OUTFITTER_experience_d",="62",=".8548387",="",=".355139",="0",="1"
="captain_experience_d",="95",=".5684211",="",=".497924",="0",="1"
="TONMOD",="86",="218.986",="",="91.6182",="45",="448.7"
="ln_SLAXIMP",="95",="5.703489",="",=".3507016",="4.369448",="6.436151"
="ln_totalnetexp_silver_ship",="95",="13.51773",="",=".4788318",="11.65897",="14.54315"
="MORTALITY",="95",=".1587105",="",=".0807868",="0",=".5"
="crowd",="86",="1.647416",="",=".742488",=".5759737",="4.884547"
="N",="95",="",="",="",="",=""
