="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="347",=".1062701",="",=".4283627",="-1",="3.289092"
="nationality_num",="347",="2.896254",="",=".7531535",="1",="5"
="period",="347",="2.302594",="",=".6868451",="1",="4"
="war",="347",=".2276657",="",=".4199312",="0",="1"
="neutral",="347",=".2420749",="",=".428958",="0",="1"
="big_port",="347",=".426513",="",=".4952844",="0",="1"
="ln_totalnetexp_silver_ship",="347",="13.37356",="",=".5723781",="11.02378",="15.066"
="pricemarkup",="329",="3.619058",="",="1.111263",="1.888208",="9.09531"
="MAJMAJBYIMP_num",="280",="1.796429",="",=".8827223",="1",="3"
="TONMOD",="276",="227.6732",="",="99.55001",="44",="501"
="crowd",="273",="1.373339",="",=".6053452",=".1691176",="3.191297"
="OUTFITTER_experience_d",="319",=".8808777",="",=".3244412",="0",="1"
="captain_experience_d",="308",=".7142857",="",=".4524891",="0",="1"
="OUTFITTER_total_career",="319",="47.80878",="",="43.41968",="1",="114"
="captain_total_career",="308",="5.646104",="",="3.872742",="1",="22"
="OUTFITTER_regional_experience_d",="272",=".8125",="",=".3910318",="0",="1"
="captain_regional_experience_d",="276",=".6050725",="",=".4897231",="0",="1"
="investment_per_slave",="304",="2724.515",="",="1311.093",="456.436",="13724.96"
="ln_SLAXIMP",="304",="5.58535",="",=".4601554",="3.828641",="6.887553"
="MORTALITY",="303",=".1222739",="",=".0815361",="-.1206897",=".5677966"
="ln_length_in_days",="262",="6.093642",="",=".2837426",="5.365976",="7.163172"
="FATEcol",="347",="1.527378",="",=".9920055",="1",="4"
="N",="347",="",="",="",="",=""
