="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="388",=".1481418",="",=".4402023",="-1",="3.289092"
="nationality_num",="388",="2.930412",="",=".7827618",="1",="5"
="period",="388",="2.314433",="",=".6775072",="1",="4"
="war",="388",=".2113402",="",=".4087863",="0",="1"
="neutral",="388",=".2757732",="",=".4474801",="0",="1"
="big_port",="388",=".4278351",="",=".4954036",="0",="1"
="ln_totalnetexp_silver_ship",="388",="13.37918",="",=".5690038",="11.02378",="14.87969"
="pricemarkup",="370",="3.609527",="",="1.076864",="1.888208",="9.09531"
="MAJMAJBYIMP_num",="307",="1.80456",="",=".8787127",="1",="3"
="TONMOD",="298",="233.0255",="",="98.9491",="44",="501"
="crowd",="295",="1.344137",="",=".5955953",=".1691176",="3.191297"
="OUTFITTER_experience_d",="360",=".8777778",="",=".3279982",="0",="1"
="captain_experience_d",="349",=".6991404",="",=".4592903",="0",="1"
="OUTFITTER_total_career",="360",="46.74722",="",="44.15533",="1",="114"
="captain_total_career",="349",="5.464183",="",="3.786243",="1",="22"
="OUTFITTER_regional_experience_d",="299",=".8160535",="",=".3880901",="0",="1"
="captain_regional_experience_d",="303",=".6072607",="",=".4891675",="0",="1"
="investment_per_slave",="337",="2675.912",="",="1355.772",="456.436",="13724.96"
="ln_SLAXIMP",="337",="5.593679",="",=".4481487",="3.828641",="6.887553"
="MORTALITY",="336",=".1229358",="",=".0811873",="-.1206897",=".5677966"
="ln_length_in_days",="300",="6.107982",="",=".2742301",="5.365976",="7.163172"
="FATEcol",="388",="1.525773",="",=".9840357",="1",="4"
="N",="388",="",="",="",="",=""
